,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.02809318,0.80716354,0.0,0.0,0.35592434,0.7184046,0.11458316,0.0,0.0,-0.7152809,-0.14674796,-0.21373968,-0.97919935,0.56640404,-0.27981153,0.15835613,0.75300175,0.35346088,0.19245978,-0.22684385,0.55562115,-0.17458852,1.314625,1.5150082,-0.39711222,0.96482605,0.04672292,0.25311485,1.460284,-1.4439805,-1.3943753,-1.6469731,1.1444691,1.0064594,1.1848131,1.6562493,1.0816444,-0.14075021,0.97704804,-1.3029613,0.437924,-1.212491,1.4825667,0.063075684,-0.34596097,-0.8254189,0.99493587,-0.14478591,0.27941236,-1.6334692,0.44297394,0.34090993,0.38064516,1.4884723,0.6943959,-0.49090108,-0.25963143,0.70187277,-1.4962468,0.5842878,0.5734503,-0.9985243,-1.256656,-0.61062026,-0.518164,0.19414237,-0.21934025,1.6884527,-1.4240562,-0.98565465,-1.1767299,0.51430833,-0.8415503,-0.11085491,-0.9437372,-1.1882075,-1.3680193,0.5597472,-1.2651017,-1.0531685,-0.42795283,1.1093199,-1.3317728,1.1793513,-1.4412521,1.6236017,-0.10879243,1.6158206,0.29473412,0.8331209,-1.5814369,-0.704222,-1.3097806,-0.68389213,-1.3408211,-0.6133602,-0.27122918,-1.5478059,0.7122831,0.235347,-0.77272046,0.07378486,-1.4286356,0.2669115,1.4675161,-0.66172224,0.5992287,-1.2941928,0.7359712,-0.74250656,-1.0590523,0.27885917,-1.620482,1.132986,-1.7534647,0.58687055,-0.8916018,0.7939497,1.548245,-0.82761365,0.30211076,0.34059763,0.25837767,-0.9815414,1.6491112,-0.19451644,1.1985918,0.6949352,-0.6788786,1.0824971,-0.35063398,1.2936443,0.2987546,1.302549,0.71149284,0.7557556,-0.035096675,1.5112388,0.53367585,-0.29550824,0.3253883,-1.6085111,-0.68840796,0.5313569,-0.7040496,0.37267053,-0.3065593,-1.2733958,-0.7432013,0.24658382,0.29484344,0.20914906,0.48979956,0.4828677,-0.23984624,1.3393402,-0.38871688,-0.1829455,1.350446,1.0836583,0.7222742,-1.3694592,1.4963276,0.69850856,1.6829953,-1.2032502,1.2641956,-1.2280681,0.4215991,-1.256572,1.1988063,1.1332213,0.2427615,-0.32957667,-1.4764403,0.709987,-0.12541777,0.72880614,1.2571183,1.5982003,1.1970217,-1.6717975,-0.44053543,0.8118457,-1.1100439,0.021398248,-1.544704,-0.9849812,-1.6767448,0.9628585,-0.9495041,-0.5700421,1.4447032,0.76026887,-1.6374123,-1.2267475,0.42114797,0.267607,-0.9409285,1.4712862,0.405078,0.1159134
1,0.02809318,0.20481731,0.0,1.0,-1.6640775,-0.102910824,0.8025408,2.0,0.0,-0.45491484,-0.14674796,-0.21373968,1.597641,0.56640404,-0.27981153,0.30226928,0.8050839,-0.6354739,-0.31863958,-0.97393024,-1.0601634,1.6319672,0.7982172,-0.09252587,-0.9340336,-0.8678575,-1.5877517,-0.2174418,-0.6943701,0.67837155,-0.3991441,-1.1030722,-1.6135037,-1.4407569,0.5217287,-0.1775157,0.14898081,1.3821981,1.6916397,-0.9567654,0.5179159,-0.7958298,-1.6697698,0.8706048,-0.6713499,-0.41252363,0.32244492,1.1718302,0.49045143,1.2899064,-0.73998487,0.9771188,-1.0983351,1.5193247,0.7139513,-0.9900038,1.5240242,0.8198311,-0.8137048,-0.9817214,0.044609066,-1.6374885,-0.9906428,-0.22532222,-0.48212928,-0.17433985,-0.77869034,0.32175434,1.2124075,-1.2956184,0.047515985,-1.3232394,0.7687676,-0.3521876,0.21360298,-1.1053462,-1.247918,-0.014241436,-0.4983906,1.5575943,0.9276349,0.8567538,1.4402292,-1.4037088,0.1556402,0.28461525,1.6200383,-0.74957913,-0.9624552,-1.443524,-1.6606103,1.4676338,0.58413315,1.0373048,-0.7773425,0.2924266,-1.4728503,-0.1058224,1.699465,1.2952994,-0.52363676,1.5933367,-0.9466842,1.5981182,1.5097334,1.063433,0.46954075,1.251004,-0.73370945,1.201829,0.43022272,-1.701963,-0.4913389,-1.2299073,1.646394,-0.10279685,-0.09931338,0.45603138,-0.49738368,-1.2089689,1.171171,-1.0443057,0.04193309,-0.9771667,-1.3331301,1.2259473,1.6375799,1.5828961,1.4000585,0.94263375,-0.57291436,-1.4004165,-0.3067375,-0.95956415,-1.2293793,-1.5714267,0.7532503,-1.7019956,0.9768332,-1.2515973,-1.4587508,-1.3741722,0.6334158,-0.8757422,-0.24888322,0.1618613,1.212579,0.8082002,-0.8411713,-1.3025504,-1.5359769,-0.7345625,-0.8663315,-0.19620645,0.63813967,0.64638704,-0.6779815,-0.37144625,-1.1408302,1.0220563,-1.5124265,0.6478078,1.0041444,0.91612715,-0.84343225,-0.4259671,0.2950922,-0.85113484,-0.42906836,-1.00125,-0.15698822,-1.5610461,1.0461344,-1.5015742,0.07313877,-0.6491534,0.29608423,1.5323871,0.481298,-1.6085889,-0.23812842,0.052551072,0.16082972,0.6419645,-0.7395689,-1.3715435,-0.35836142,1.6227995,-1.0926745,1.3403796,0.1661314,-0.1803381,1.2849476,-0.0982583,0.79418117,-0.41672486,1.40325,0.6546453,0.64412236,-0.619236,0.89083123,0.46375334
2,0.02809318,0.46033987,0.0,0.0,-2.0680778,-2.402594,-1.6435307,2.0,0.0,-0.90041906,-0.14674796,-0.21373968,0.30922085,0.56640404,-0.27981153,-0.92298746,-1.1815077,1.0118978,1.6361862,-0.106351726,0.3626204,1.3230836,-0.15956728,1.4749619,0.26466575,1.0638734,1.3656056,1.1245868,-1.2292819,0.44945672,-0.32831755,-1.5019609,-0.2502779,-0.7817658,1.1118541,-1.6461172,1.6493287,-0.5120825,-0.46644938,-1.6608233,-1.1327075,-0.31676415,1.4301056,-1.3784552,1.4783785,1.2751408,-0.16281486,-0.5994033,-0.89063114,0.40595144,-1.5666878,-1.6999061,-0.26450688,-1.4989092,-0.78875387,-0.9704098,-0.90216285,-1.3096586,-1.6660374,-1.31957,0.392503,1.6437899,1.6608101,-0.28044665,-1.2098216,0.43110225,-0.039679192,1.6919783,-1.5512075,0.96333236,-0.7397699,-0.93759406,0.57995176,-0.8674689,0.5757284,0.03318721,-0.27505255,0.21304202,-0.7401543,0.73680234,-0.2702737,-0.49850678,1.1822704,1.4772657,-1.6166327,-0.91727525,-0.52982193,1.0568061,1.609355,1.6515695,1.430459,-0.6580484,1.6938246,-0.84833485,-1.3851436,1.5225478,-0.89155364,0.5925913,-1.4839875,0.7966383,1.336927,-0.79571396,-0.431168,-0.4520444,0.83675283,-0.9516031,-1.1395036,-0.2058495,-0.69396263,1.1679332,-0.8721571,-0.01180993,1.5636352,0.45638713,1.2478614,1.4942027,0.7835342,0.6682068,1.5681533,1.7146246,-0.13720858,-1.4539915,-0.73430645,-1.231994,-0.2180942,-1.2753891,0.3578511,-0.38096255,1.3619363,1.6243402,0.17692336,-0.7480438,0.33687818,1.3548815,-0.2789613,0.15588082,-0.8424313,-0.19167918,-0.31446567,-0.90126014,-0.015024833,-0.6393772,-0.4334431,0.0727232,0.9026425,-0.6162863,1.4363693,1.2841984,-1.61793,-0.87096655,-0.20000002,-1.4161372,-0.56687427,0.78779626,0.6284945,0.39378747,0.791727,-0.96117526,-0.57810813,0.6300627,1.3278718,0.12954189,-0.72982556,-1.6580089,0.6972285,-1.6936811,-0.44736993,0.029336467,1.487257,-1.3762432,-0.3453053,-1.6327529,-0.54596657,0.43364242,-0.75311106,-0.98686993,-1.2738024,0.23823263,0.65591747,0.56277245,1.510965,-1.7029791,0.5397359,0.35881677,0.3482367,1.5903604,-1.6760753,0.7266934,1.0777185,-0.008927574,-0.56572187,0.98615223,-1.438255,-0.15612547,0.07693736,0.6027762,-1.4230094,-0.9315262,-0.3490738,0.3995787,1.3336239,0.40405917
3,0.02809318,1.017754,0.0,0.0,-0.4520764,0.3077469,0.6496613,0.0,0.0,-0.18259448,-0.14674796,4.7300806,-0.97919935,0.56640404,-0.27981153,-1.296139,1.6786313,1.2682778,0.045528945,1.5156614,0.18827158,1.5568713,1.1047144,1.5307153,1.448551,-1.6124421,-1.1825126,-0.3768974,1.5534699,-0.6667572,-1.1432296,1.3085394,-0.17394283,1.4530016,-1.2842182,0.54708934,-0.193125,-1.4880266,0.6907273,-0.84969467,-1.6357117,-1.5021765,-1.531849,1.3805096,0.77215254,1.3743601,0.627246,0.11084609,-0.6407137,1.7189375,-0.4352253,-0.14303282,-0.43785164,1.6105326,-1.0553907,-0.6001486,0.5907711,-1.5505401,0.4311442,-0.06884019,-0.76788974,-0.9015633,0.049254075,-0.42548037,-0.19841251,-0.61013335,1.6288847,-1.2210793,-1.4421936,-0.52920055,0.30073336,0.53570884,-0.3414519,1.7200412,-0.5562668,0.72885376,0.46875116,1.0943415,1.6900437,1.3798641,0.925026,0.6807103,-0.5125049,-1.1837081,-1.5584118,-0.88559353,-0.23625843,0.044568427,0.87577075,1.6151173,-1.309621,-1.2946119,0.30775023,0.89737815,1.1807004,1.4715247,1.6811073,-0.3994532,-0.36880845,-1.1970345,0.6633461,0.5366438,1.258607,-1.4397852,-0.04037613,0.28052485,-0.8949375,-1.1665798,1.233334,-1.5447602,-0.07429023,-1.3474624,-0.11225433,1.6571487,-0.29555014,1.206903,-1.423639,-0.8438693,-0.37605235,-0.31258756,0.6385765,-0.51103,0.76106405,0.49193752,-0.28201976,-0.2471003,0.39397305,-1.4435918,1.1128566,0.51820654,0.806493,0.13459398,-1.3392408,-0.35772315,-0.28367367,-0.6444163,-1.6920564,0.7668938,-1.3364261,0.33445245,0.6532635,0.4403128,1.6577504,-1.3576665,1.3093492,-1.6741006,0.06690127,-0.3276591,0.04850088,-0.47719356,-1.0737658,-1.7120088,0.021492273,1.1436133,-0.4427382,-0.9841116,-1.3766344,-1.3642484,-0.9997687,-1.3812621,-0.7933896,-1.4846512,-1.4887753,1.187843,-1.1758898,0.21795301,0.93714786,-0.22391689,-1.1851017,-0.9923882,-0.2508495,0.14735174,-0.5221842,0.9988263,0.87326515,1.5095068,-1.5686855,1.316605,-0.40761927,1.2668347,0.6403082,1.7043312,0.9222825,-0.46562138,0.04170638,-0.49236462,-0.45571214,-0.7749961,-0.022839231,0.5796157,-0.763209,0.055344593,-1.3683795,-1.1417146,-1.5848438,1.5595164,-1.7254796,-1.1002759,0.34630376,-1.4683824,1.3163985,0.7531659
4,0.02809318,0.8528755,0.0,0.0,-0.048076045,0.3077469,-1.4142115,1.0,0.0,-1.5268352,-0.14674796,-0.21373968,0.30922085,0.56640404,-0.27981153,1.6206409,0.029095834,-0.6747204,0.2085508,1.5452594,0.11579745,-0.781949,1.2658612,-0.49522156,-1.7118548,-0.89061034,-0.68452746,1.2769,-0.17937651,-0.17611259,-0.54177225,1.289339,1.5281793,1.7422127,-0.5310683,1.6126833,1.05579,0.6088741,-0.8472886,-0.958309,-1.1989765,1.494433,-0.7369635,-0.17165498,-0.0733416,0.9580533,1.248142,-1.2583405,-0.2138876,1.1878942,1.1319215,-1.4029043,-1.1986464,-0.6933648,-1.3979887,-0.2650744,-1.4109485,0.2424118,-0.8397241,0.34139007,-1.3454293,1.6494201,1.4651071,-0.34130445,-0.9368738,-0.91107804,-0.06369643,-1.539099,0.43667072,-0.30893528,-0.4337405,1.0653772,0.74158823,1.565645,-0.55611086,1.3292118,0.92997354,-0.45983243,0.43977687,-0.7303105,1.3004545,-1.3649052,-0.9354224,-1.0626974,-0.3666266,0.83374894,0.095379904,-0.07401001,-1.7923099,-0.28516695,-1.49667,-0.95459205,1.4884291,-0.96808285,1.2159165,1.022933,-1.1463274,0.3050147,-1.2855089,0.7869899,0.50085294,1.0746018,-0.08017594,1.4752711,-1.6073537,-0.7538978,0.76638806,-0.31274042,-1.1505771,-1.3756168,1.1136007,-0.11286434,1.3554976,0.8010043,-0.34419292,-0.46539098,-0.035734106,1.337131,0.7731789,-1.6581529,0.71904594,1.4681828,0.7493024,-1.1447016,0.012250364,-1.2444974,-0.4927154,1.502315,1.457226,-0.78570664,-0.5501607,0.34772694,1.6275483,-1.2536308,-0.79816175,1.2694697,-0.06825228,1.3169373,-1.0713049,0.080195196,-0.6231918,-0.6188696,-0.16997924,-0.23899467,-0.46935484,1.4048947,0.759398,0.8099692,-0.77253115,0.2739448,0.9386468,0.97478926,-0.58055586,0.8944424,0.8215453,-1.2647034,1.3266512,-0.16455795,-0.07088752,-0.16532885,0.25242037,0.3914859,0.023478689,1.2240598,0.41499797,-0.33029914,-0.2953242,0.986972,-0.5078437,-0.9510445,-1.5558171,1.3759325,1.4596715,-1.3483832,-0.5621799,-1.1064862,-1.2731388,1.3307399,-1.587067,1.6151326,-1.3647614,1.2756579,0.26434067,-0.45383108,-0.51320595,0.860793,-0.63221854,0.59167403,0.051138293,-0.09396273,1.4124666,0.1610681,1.0934771,0.83417004,-1.6138163,0.87639004,-0.9851306,1.3859398,-1.6102282,-0.6007894,-1.3439988,-0.092051916
5,0.02809318,-0.40350866,0.0,0.0,-0.4520764,0.7184046,0.49678183,0.0,1.0,-0.6304499,-0.14674796,-0.21373968,-0.97919935,-0.8896474,-0.27981153,1.1080856,-0.70141727,-1.1829926,-0.555451,1.1366593,-1.2211757,-0.9239844,-1.4771024,0.63870996,-0.3565344,-0.6752218,0.705321,-0.5640846,0.76584816,1.0817796,-0.9473657,1.6071804,-1.1435244,-0.6710696,-1.2161604,-0.55547166,-0.051768336,0.07165639,1.2259407,1.4040982,-1.0122507,0.45298862,-1.359847,-0.15159526,-0.6633861,-0.6450454,-0.060008347,0.8163497,-1.460723,1.3122382,0.8458211,-1.1494293,1.4856056,-0.0038499623,1.7915044,-1.0532519,0.08245031,-0.7444717,-0.636717,0.32285273,1.4445115,1.0592287,0.7585503,0.24895425,1.4063154,-0.074855804,1.2930042,1.1630218,-1.0371732,0.9225819,-1.6895005,-0.6504829,-0.923962,0.028453544,0.83169526,-1.3971248,0.041406814,1.5219444,-0.9461047,0.6334964,0.3382142,-1.7223464,-0.030257586,0.7371305,-1.6237469,1.2924687,0.071456514,-1.6530378,-1.0191476,1.59707,0.30806577,-1.2930388,-0.73322785,-0.11875084,-1.678826,-0.2974049,-0.0132940635,-0.9335898,0.35265532,0.8737003,-0.8738856,0.41093242,0.48040885,1.5953425,0.9397948,1.2398226,-0.021767234,-1.1106253,1.7063268,-1.298665,-0.07142459,-1.5124199,1.5680095,1.6049575,0.733254,-0.5467147,-0.9460471,-0.8648698,-1.3288993,0.11699056,-1.2325575,-0.60740125,0.45181,0.8048193,-1.5897772,-0.25272697,0.52443296,1.2173611,-0.071742885,1.6293055,-0.8097608,-1.6280395,-0.04053759,-0.876395,1.1661276,-0.9501811,-0.7054225,0.95048285,0.7827624,0.16783455,0.6591237,-0.27907822,-1.7454616,-1.6695541,0.06749693,-1.4860451,-1.6353956,1.6473281,1.2219181,-1.2299681,-1.7230258,1.4802586,-0.8101311,-1.1326858,0.6668179,-1.3771464,-0.74292684,1.6341603,0.46556497,0.0870643,-0.33446226,0.9097941,-1.2253473,1.5704693,1.212427,0.41879845,-1.5865995,0.6112208,1.4565716,0.14061597,-0.5259516,-1.2937587,0.8897928,1.3663048,-1.3693206,0.9241676,-1.609109,1.5581881,0.3740937,0.15510815,-0.6917233,1.5034279,-0.76160276,1.1549639,1.734004,0.95325595,0.0845451,-1.4466888,-0.10444015,-0.25385478,-1.0231935,-0.29674578,-0.534284,-1.1283064,-0.19904472,-0.887621,0.07561226,-1.5923926,1.3533831,1.0650703,0.19628856,1.2110093
6,0.02809318,0.44768715,1.0,0.0,1.163925,-1.7455417,1.7198175,0.0,0.0,-0.8426217,-0.14674796,-0.21373968,-0.97919935,0.56640404,-0.27981153,1.6066514,-1.3559552,0.44890824,1.771495,1.7446717,0.40598965,-1.278111,0.2677789,-1.7516631,-1.0321194,1.5255022,-0.64215416,0.5008292,-0.80296755,1.5319128,0.8021872,-0.5910363,1.0049956,-1.2999086,-0.4768802,-0.9896587,0.67163754,-1.3971816,-0.32912698,-0.74701464,-0.023494907,-0.49514747,0.66973567,-1.6346393,0.40807855,-0.94342554,-0.8336303,1.0636878,1.6287656,-0.6140227,1.1620786,-1.3975085,0.4391039,0.8310181,-1.1198412,-0.26043212,1.3329732,-1.4072102,-1.644685,0.32119504,-0.24219023,1.0364865,1.4342679,-0.6680134,-0.433089,-0.09590043,0.3003176,1.6730702,0.636099,-0.37257522,-0.8244561,1.5424001,-1.2505602,0.761554,1.5114771,0.5354523,-0.27865687,-1.0002577,-0.4565602,0.7378451,0.5318586,1.4828912,1.3135612,1.1047405,1.4134881,-0.7679646,-0.456208,-0.4464077,0.1414092,0.57998675,-0.7203082,-1.5885988,-0.34847146,-0.64029044,1.5057652,1.3110133,1.2587979,0.4667975,-0.49365443,0.17462985,1.1093197,-1.3983266,1.0452441,-1.6397241,1.0730875,1.0934442,-1.563508,0.40387145,-0.006579059,-1.1580577,-1.1783231,0.9241172,0.2696218,1.6676887,1.6478497,1.6755955,-1.4191095,1.5108045,-0.9247539,-0.113476075,0.94252473,-0.99688005,0.23727667,-1.1135008,-1.3090894,-1.3258015,-0.4974215,-1.6657469,-0.24400122,0.55612206,-0.332453,-1.3846117,-1.5055059,-0.7997629,-1.1017594,1.5865543,-1.2657369,0.998903,0.33104655,0.2066283,0.0060187057,1.5618426,-0.46623275,0.96468186,0.22126016,-0.40033406,1.5465171,0.3552357,-1.3718113,-0.2919282,0.94686,0.62238234,1.4022708,-0.8780545,0.89928174,-0.16668752,0.3204717,1.5666021,1.6566556,1.2770214,-0.46854118,1.2924445,0.5144118,-0.28076228,-1.6076902,0.94701505,-0.000254591,0.9027561,0.8820774,1.078416,-0.7130815,1.1101881,0.17222752,-0.09483102,0.6117246,-1.642369,-1.3193055,-0.7264356,1.6668183,-1.2525476,-0.5748386,-1.5356672,-0.5385193,-0.62019277,1.600096,1.1726078,-0.3931148,-1.5890918,1.1378282,0.50703305,-1.1990814,1.703072,-1.427878,1.3285217,-0.7157166,-0.2911478,1.025836,0.6116969,1.4619745,0.39215288,-1.3505388,1.3237545
7,0.02809318,-0.03875173,0.0,0.0,1.163925,-0.102910824,-1.0320128,1.0,0.0,1.5147401,-0.14674796,-0.21373968,0.30922085,0.56640404,-0.27981153,0.929958,0.74142605,-1.5135281,-0.32560346,-1.1221095,1.1742707,0.76272833,1.2851262,1.5249019,0.9494545,1.6554753,0.3448131,-1.616446,-1.7388543,-0.5239509,1.1272149,1.2397096,1.5820652,-1.4480829,-1.6865484,1.4280083,-0.67340654,0.19697838,1.6647532,-0.3124422,0.5275644,-0.31808367,0.88051534,0.08310395,-0.9549644,-0.8019786,-0.87215245,0.12271781,0.7490998,1.552263,0.7058078,0.91945493,-1.1556355,-0.45502245,-0.23038362,0.6420338,-0.75292176,-0.69816166,-0.4545016,1.0799882,0.25064513,-1.4658668,-1.4283006,-0.4136335,0.869863,0.603631,0.7167073,0.9357832,-0.78343743,0.16597316,0.13681872,0.81945235,1.6025046,-0.7577913,1.0351465,0.51944935,0.26896405,0.96412784,1.5765226,-1.6143537,-1.1844467,0.8833745,-1.3775133,0.077616714,-1.007931,-0.77493805,0.7084727,-1.6546557,1.2219512,-0.2171949,0.030009544,0.15965778,0.50016505,-0.51242316,-1.401732,-0.6120247,-1.1154699,0.13539393,-0.58460826,1.5742627,1.6245,0.40963578,0.40300557,1.7266842,1.3207066,0.9409195,-0.64219767,-0.4929468,-1.0522687,-0.055373207,1.7064167,1.4040257,-1.2813797,-1.6566397,1.3569351,0.10052771,-1.134874,0.5766971,0.4524991,-1.2594786,-0.81639105,-1.4911517,-1.0289012,-1.3029901,-1.0003662,0.6211508,-1.566654,-1.3355083,-1.2361004,-0.66711706,-0.6935777,-0.8145862,0.8876582,1.7075603,0.16201383,1.5141844,-0.4031851,-1.3779871,-0.2897496,-0.73651564,-0.057216063,0.51439,-0.11940998,1.4641631,1.3707454,0.66452515,-0.09223807,-1.2867205,-0.3971841,0.72154135,-0.751299,-1.4183512,1.3729974,0.68020934,0.40107673,0.9804921,1.2223648,-0.022562176,1.3128192,1.4683987,-0.770901,0.34543297,0.12277891,0.091140434,1.4739453,-0.6637076,1.662537,1.2988685,-0.12360796,1.1616911,0.92299914,0.67603004,-0.62528557,-1.07748,0.59932494,1.2164026,-1.6118546,0.46051818,-0.23087598,1.3340815,-0.6056175,-0.07144368,0.08775648,-1.249012,0.7822936,1.1204749,-1.5321816,-0.669899,-1.6091166,1.5202984,0.59637856,1.5917397,0.06857061,1.1013395,-0.43422186,-0.57299143,-0.42416823,0.5442848,-0.5236292,1.3546206,1.66122,-1.6339023
8,0.02809318,-0.01749206,0.0,1.0,-0.048076045,-0.102910824,-0.80269367,2.0,0.0,0.7115687,-0.14674796,-0.21373968,1.597641,0.56640404,-0.27981153,-1.0854621,-1.3499293,-1.5521903,-0.91274154,-0.14599454,1.2272974,-0.94372743,-0.034990005,1.3993564,0.5794111,0.98649615,0.1234334,1.7054149,0.2775268,-1.5306159,-1.0147597,-0.33468148,0.35476205,0.98502743,-0.4046399,0.7180595,1.0486503,-0.64544326,1.6539407,0.56235546,1.2706766,0.2204444,0.7897968,0.9121383,1.3509898,-1.2219856,0.2138081,-0.2423186,1.515803,-1.337986,1.6975956,1.2419487,-1.481746,-0.056202635,0.81770164,0.8214725,1.3811593,1.064838,-0.6129099,0.0029522954,0.68150985,-1.2473917,-1.0362946,-0.026577894,-0.7437077,1.204544,0.2938053,-0.4886181,1.1604176,1.0367777,1.7012168,1.1991894,-0.28170422,-1.2747715,1.2058988,-1.5263695,-0.5322308,1.4582464,1.6355308,0.5051201,0.6655515,-1.6092417,0.102580145,0.1828685,-0.5869427,-1.4775902,-0.9490287,-0.52210855,-0.29136387,0.3045976,0.79536176,-0.5872712,-0.5905633,-1.6569188,-1.6099485,-0.8163706,0.8469501,0.38234106,0.9800714,0.9273277,1.2508314,0.7569809,1.6677458,1.4180903,0.2704149,0.30592203,-1.6222436,1.6768839,-1.2942283,0.82446766,1.1261954,-0.4586967,-1.0104117,-1.401297,0.834912,-0.19172318,0.65444833,1.4301443,-1.2624247,1.4581335,-0.2792317,-0.64687485,1.5755621,1.7365167,-0.9806361,0.5231756,-1.3688813,0.5299336,1.1296027,0.62755334,-0.27756768,-0.3835288,-0.35585958,0.2854758,1.3666095,1.4617519,-1.6091712,-1.1230799,-1.3278848,-1.0914322,-0.55432075,0.013454283,0.48146966,0.77548784,1.3893995,1.6625296,0.51703066,1.2245412,0.93816966,-0.6805777,1.2686154,-1.6302068,-1.7739872,-0.82830894,-0.13289993,0.4488953,-1.3035352,0.6161905,1.0346168,-1.0835265,-0.27503523,0.049452063,-0.13863683,0.993376,1.5520498,1.0468757,-1.4653896,0.96680456,-1.4867468,-0.86557406,-1.2284803,-1.0209017,0.10072965,0.6091751,-0.09404245,1.622533,-0.8502989,0.86788756,1.2704691,0.18794507,-0.1510208,0.35072917,-0.2056142,0.20081963,-0.25242233,-0.4068346,0.70291924,-1.3543731,-1.1639951,1.1596895,0.95877564,-0.7932524,-0.46658188,1.53428,1.12401,0.3275845,-0.9690733,-1.5611955,-0.27713382,0.56962276,1.134713,1.2140588
9,0.02809318,0.20942858,0.0,0.0,1.163925,-2.73112,2.178456,0.0,1.0,-0.12601732,-0.14674796,-0.21373968,-0.97919935,0.56640404,-0.27981153,-1.6487235,-0.88986415,-0.5431511,-1.0486823,1.0985565,0.98292834,0.10790198,1.6238596,-1.2692916,1.3792757,-1.3381393,-1.2227451,0.70446825,-1.4042543,0.23544776,-0.25366637,0.7699434,1.3767817,0.97793835,1.1141206,-1.647372,-0.65511835,0.048060115,-0.26466182,-0.9063645,-0.70906585,1.5731827,-0.73660797,-0.5102962,-1.758815,1.1903768,-1.2455108,-1.0298136,-0.81213653,1.330893,-0.9706357,0.97533804,1.036006,1.431406,-1.2592847,-0.98386455,0.8093847,-1.0790807,-0.69958884,-1.1425526,-1.1540277,-0.060517836,-1.3218293,-0.5885115,-0.30151525,-1.6916136,-0.39401326,-1.3548838,-0.069042,1.1075617,1.0825684,-1.5052859,0.36709166,1.154278,-0.96700346,0.86696523,1.3508261,1.0707039,-1.3739989,-1.7113343,-1.0329463,-0.813014,0.45208856,-0.37376526,0.68507785,-0.50583386,-1.2100685,-0.6786036,1.259958,1.6143742,-0.9958509,0.99391586,-0.7821356,1.396243,-1.1789776,0.5608613,-1.4033685,1.5646505,0.7405496,1.1766522,0.2585348,-0.087234065,0.41834673,0.09860877,-0.13959049,0.92074853,-1.1172312,-1.1592213,-0.2517316,-0.6335969,-1.4327263,1.1701715,0.9734596,0.1437539,1.6376785,-1.5059143,0.83895123,-0.86110276,-0.49733436,-0.92810255,1.0542887,-1.2013502,1.209526,0.5712259,-1.4685538,1.0506941,0.4398738,1.3931365,0.86136985,0.19344513,1.1931111,-0.7371778,0.17933849,-0.7457777,1.6668565,-0.9729614,-1.7420143,-0.6324754,0.038391903,-1.6610345,0.16574189,1.2374076,0.7500316,0.40514997,1.6191432,1.5554364,1.0849187,0.38840315,-0.07913544,-1.7200271,0.34745753,1.6443462,1.061613,-0.5965758,-1.2137259,0.9513825,0.90671766,1.6070403,1.2905767,0.20917884,-1.3589561,-0.07387617,-0.6214676,0.0031600907,-0.6989755,1.2646801,1.1819797,-0.7054463,0.36605445,-0.18848427,1.4121712,-1.0567856,0.6906946,1.6692301,-1.110785,-1.0139524,0.6910049,0.92209774,-0.06336689,0.35037336,-0.9726378,-0.06303682,-1.2866343,-0.6163628,-0.71445394,-0.25000134,1.5261482,-1.0495504,-0.3504762,0.35320243,1.5707884,-1.3113179,1.4092937,-1.4169048,-0.06077924,-0.22465248,-1.01039,-0.52079904,-0.19849591,1.2334415,1.5652659,0.058047157
