,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,-0.34568843,0.41854906,0.0,0.0,-0.4580867,-0.07971893,-0.36341566,2.0,0.0,0.33853316,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,-1.4912205,0.96899676,-0.1433487,0.7891362,1.656835,0.12939095,0.035319053,-1.4721394,-0.8130325,0.03669765,0.5945868,1.0232911,-0.4297025,-1.4821974,-0.73568046,1.3888396,-0.97677314,-0.14075859,1.5133507,-1.6673974,0.31591547,1.532983,-0.92123145,0.16678146,1.3979449,-1.2955552,0.121910065,0.8381492,0.5616332,-0.10540197,-1.0081533,-0.031278476,-0.4041421,-0.034020945,-0.46191412,1.2114305,0.9507982
1,1.3805906,1.1699538,0.0,0.0,-0.06318437,-0.07971893,1.6158066,0.0,0.0,-1.4723821,-0.15605794,-0.20566916,-0.95886195,-0.8399412,-0.28974813,-0.6535828,0.25938666,-0.6930528,-0.1317707,-0.5194298,0.53486466,-0.4139013,-0.109870285,0.7647599,-0.2588591,1.3764057,-1.1485685,0.8009096,-0.24396168,-0.26329696,0.44506735,0.07828829,-0.27304578,-1.6716636,-1.432313,0.695354,0.06738798,0.6847216,1.5633938,0.62617046,-1.5757582,-0.6303662,0.2939563,-0.92881095,1.5768435,1.5340252,1.233151,-0.05679588,1.1997634,-1.2730615,-0.6094116,-0.12294056
2,0.25688064,0.27171767,1.0,1.0,-0.06318437,-0.49448964,0.39782366,2.0,0.0,0.044810954,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,0.854225,-0.037748784,-1.1642517,-0.5037321,-0.6188474,-0.68247646,-1.1176031,-0.26540983,-0.1842684,0.972165,0.99776095,0.042924233,-0.15743013,0.9921962,1.3106617,0.58408475,1.0244488,1.5892545,-1.5372826,1.3016357,-0.8135086,-0.09983349,1.0315222,0.7458824,-1.2016997,0.5443667,-1.4704386,-0.51819956,1.0556496,-0.24089704,0.34847367,0.8080402,1.1558437,0.9253996,-1.7013599,-0.22567748,-0.12244937
3,0.14288108,0.32710734,0.0,0.0,-0.06318437,1.579364,-0.2111678,1.0,0.0,-0.70704865,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,-1.5645533,0.15263985,0.43005994,1.1464024,1.5308567,-1.2699388,-0.89455736,0.59429884,-1.2888178,-0.90144324,0.23543702,-1.1866469,0.9413737,1.2658092,-1.6048139,0.09619393,1.012424,1.7172445,-0.73706216,-1.1641606,1.2785895,1.3920387,-1.0341996,-0.20026973,0.7500773,1.1975965,-1.1232497,0.54352397,1.0384947,0.17189878,-1.1459862,-1.6407832,-0.71990085,1.0858793,-1.5713751,-1.643445,-0.47908312
4,-0.60625887,-0.962908,0.0,0.0,1.1215227,-0.07971893,-0.82015926,2.0,0.0,-1.4259491,-0.15605794,-0.20566916,0.3011406,0.55299616,-0.28974813,-1.5359275,-1.1891093,-1.5491585,0.11282093,0.67738146,-0.25063923,-1.2238574,-0.5594612,0.31342337,1.5359975,1.6728121,-0.93548536,-1.6951083,1.1743224,1.4449706,-0.15771115,0.9254716,1.330235,0.41172063,1.2910109,-1.694289,-0.8026066,-0.75949526,-1.3014809,1.4033527,-1.6551883,0.6448449,-1.5034835,-0.4971621,-0.27339476,-1.0886734,0.07566501,0.16101044,-0.5774419,0.82054746,-1.1204848,-1.0731535
5,0.17545238,0.17638616,0.0,0.0,-0.06318437,-0.24562722,0.24557582,2.0,2.0,-1.4946601,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,-0.5107979,-0.40557018,-0.9292506,1.4535367,1.1349031,-1.3424755,-0.41687334,-0.9068061,-0.1739176,-0.72375494,-0.0159627,1.4374759,-0.42433828,0.54723835,0.31448573,0.8482551,-1.49394,0.89905137,1.5649736,0.35201636,-0.7751035,0.57690156,0.7394935,0.53726494,-1.202441,1.6461495,1.6364589,-0.2852505,0.30271307,-1.5538812,1.6837196,1.1283017,0.5138178,0.92732996,-1.0764093,-0.61312455,-0.8838564
6,-0.05254673,-0.052949246,0.0,0.0,1.1215227,0.7498225,-0.36341566,0.0,2.0,1.7497036,0.35114643,-0.20566916,-0.95886195,0.55299616,-0.28974813,0.34041366,-1.3862231,1.4045994,-0.09967089,-0.19966733,-1.3498598,0.6666543,1.14948,0.45061192,-0.8404072,0.960011,-1.269733,1.0952821,0.30606857,-0.731489,0.029661959,0.4394229,-0.82828593,1.2245778,-0.28419614,1.3330989,1.1383075,-1.3726745,0.5022751,-0.64440995,0.87800586,0.18929477,-0.17154877,1.3391693,-1.4942503,0.20238304,-0.60705656,-1.5757968,0.9016894,0.21473464,1.4049002,0.35223877
7,0.95716363,0.1639038,0.0,1.0,-2.4325984,-0.07971893,1.3874348,2.0,2.0,-0.19630349,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,-0.57238823,1.6717858,-1.2359003,-1.493761,0.80247444,-0.44221413,-0.4444266,1.3593881,-0.60708106,1.3602337,0.47331175,-0.6307756,-1.5278524,-0.8597649,1.5877372,-0.34061226,-1.1586334,-0.68823385,1.4049994,-1.1785538,0.9340273,-1.2732483,1.5990614,0.10403512,-1.5564396,1.4972943,-0.45725822,0.772671,0.062502295,-1.3747238,-1.3474424,-1.238807,-1.1381297,-1.473065,-1.5636122,1.5916795,-1.4287223
8,0.95716363,1.4172171,0.0,1.0,-0.4580867,-0.9092604,1.3874348,2.0,2.0,0.22548358,-0.15605794,-0.20566916,1.5611432,0.55299616,-0.28974813,0.03135649,-1.2947377,-0.90046537,0.92391545,1.5180625,-0.10516688,-1.6667539,1.7911706,-1.5852131,-0.33894324,0.11222158,1.3299096,1.0810542,0.40570498,-0.35842153,1.1312532,1.2582147,1.350505,0.78175527,-1.4130318,-0.73675895,-0.06487007,0.025917195,1.1426896,-0.8922961,0.5648199,-0.40124997,0.92460716,-1.0639668,-0.075376965,-1.3560307,-1.0168985,1.551875,-0.5808198,1.3591326,0.13232972,-1.6123046
9,-1.811397,-1.539929,0.0,0.0,-0.852989,-1.7388018,-1.6575226,2.0,0.0,0.47220153,-0.15605794,-0.20566916,0.3011406,-2.2328787,-0.28974813,1.0344296,-1.5229735,1.1721148,-1.642818,0.59874284,-1.1418345,-0.5082866,1.6276565,-0.050899386,0.57257974,0.80623853,-1.3943098,1.1346402,1.4636291,-1.1889954,0.14280966,-0.7377564,0.88421285,-1.5797095,0.034399986,0.98616016,0.791578,-1.342213,1.1429185,-0.89228255,1.0661168,0.029755656,-1.1949093,0.7850058,1.0454667,0.6886449,1.6448475,-0.80814344,-0.85288996,-1.2173699,0.18429725,-0.34618035
