,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.14683393,-0.019572055,0.0,0.0,-0.15025985,1.8295727,-1.4204466,2.0,0.0,-1.5458798,-0.22518252,-0.22919117,0.45256963,0.5696519,-0.32881027,-0.73221815,0.06241173,-1.183744,-1.6406367,0.9447514,0.5360847,0.6792087,0.21005061,-1.4999268,-0.5250103,1.6496247,-1.6427752,1.3478787,1.2673217,-1.382569,0.4779012,0.12595026,0.2564068,-0.05900237,-0.7067863,-0.5641968,0.28998357,-0.33643177,0.9900196,-0.27096292,-1.3113484,-1.2258424,-1.5336169,0.6665512,-0.6818999,-1.0033667,1.02417,0.13078097,-1.7222482,0.18215488,-1.3517642,0.4593652,-1.3253508,-0.050266497,1.4371537,1.0596738,-1.4275789,1.5940372,0.6406627,0.7194077,0.7911729,1.2336153,-1.282177,0.91813916,1.1621774,1.053445,-1.8052511,-0.41553456,-0.26204753,0.053057976,0.12511988,-1.2784845,1.5201268,-1.6235758,0.24220014,0.22072588,1.6567113,-0.90339994,-1.4888003,1.5789541,-1.5251783,1.0767802,0.9992215,1.1472528,1.424624,-0.862188,-0.78750694,-0.5841029,1.0113343,-1.3174474,0.6440533,1.4136246,0.7627267,1.1932681,-0.5258611,-0.9726992,-0.64117813,0.7319473,-1.3887016,-0.1680386,0.029167827,0.4681199
1,-0.14683393,-1.0011684,0.0,1.0,1.4314228,-0.4804938,0.57477826,2.0,0.0,0.032483716,2.6503792,-0.22919117,-0.8785175,-2.1429763,-0.32881027,-1.4290049,0.21579191,1.4879386,0.014430779,0.20179747,1.655068,1.3489411,-0.05806169,-1.3564793,1.3536512,0.769676,0.860384,1.2034909,0.8151545,-0.13410631,0.0011027623,1.093363,1.2285838,-0.71555895,-1.2701192,0.2501185,-0.08714458,1.3430036,-0.025209973,0.036341604,-0.5099163,1.0190793,1.6185309,-1.2980573,0.5547855,-1.1256146,-0.7531032,1.3516214,-0.19338803,0.16642167,0.52318764,0.49704152,-1.6334264,1.4708309,-1.166131,1.005912,0.7163455,-0.12283081,1.5619122,-1.018719,1.0372932,0.5628146,-0.9437438,1.5355593,0.24655485,0.2324945,-1.3548532,-0.28769886,-1.0385418,0.3206569,-0.30304986,-1.1446118,-0.52900827,-1.081226,1.0272062,0.93289524,-1.1828482,0.8953825,-1.5857356,-0.7324327,0.55681956,0.80330086,0.0554653,-0.6087379,-0.4649592,1.3127784,0.20953213,1.4740537,1.8178197,1.5163159,-0.02804461,0.43249968,-0.96361613,1.7906588,1.6423122,1.1524075,0.3620001,-1.4761564,-0.52761513,-1.3578565,-0.90773356,-0.67626876
2,-0.14683393,0.14056611,0.0,0.0,-0.5456805,0.72074074,0.8817359,0.0,0.0,-1.4366452,-0.22518252,4.245194,-0.8785175,0.5696519,-0.32881027,0.032762103,1.3020968,-0.94227123,0.06786318,1.1393408,-1.2174878,-0.13433295,0.18541418,-0.9867973,-1.7845601,0.31457302,-1.8078831,0.35468963,-0.33418953,-0.7704272,-1.1235123,1.312454,0.22927842,-1.2441785,0.7789583,-0.780438,1.4971553,0.7532597,0.60612017,1.760004,0.12270053,0.004409881,1.4426975,1.4800609,-1.6547365,1.2026064,0.09168133,1.2548045,0.7059016,1.7109655,0.6860867,-0.99858135,-1.2600363,1.5168881,0.05284149,1.2437087,-1.4747852,-0.32307777,-0.90808743,1.3072383,0.6184662,-1.6394154,0.3196711,1.1363208,-1.7534242,0.33100867,1.3485631,-1.2915087,0.854081,-1.1859444,1.2486948,-1.0967506,-0.38795733,-0.5502783,-0.41916254,1.603108,-1.0598809,-0.34446228,0.9358152,0.023370368,0.2488972,0.9643735,1.7577643,0.9694333,-0.28816438,-0.6087569,-0.4262926,1.491466,1.136843,-1.3361012,0.09428115,0.70838344,0.033146467,0.28159574,1.2044421,-0.5699367,-1.0191637,0.32825452,0.66642123,1.6230496,1.1376182,0.96811473
3,-0.14683393,0.3807537,0.0,1.0,-0.5456805,-0.018480532,0.11434173,1.0,2.0,-0.2352532,-0.22518252,-0.22919117,1.7836568,0.5696519,3.1323507,1.6638429,-0.407713,-0.798999,0.6710042,0.16613294,0.062116876,-0.74295366,0.4670791,0.7285496,-0.42056203,-0.9390754,1.8535373,-0.79398733,-1.1677436,1.1428757,-0.118253,1.4437717,-0.6165483,0.39447686,-1.6484535,1.1519313,1.644851,0.6343963,1.1569824,-1.3982974,1.0230232,-0.23250566,-1.1098263,1.2757589,0.56117934,-0.9441919,-0.894941,-1.1331306,0.45643058,0.7904142,-1.6807925,1.5161555,-0.632564,0.6769764,1.0927066,1.3342202,0.9472424,0.5196243,0.02571272,-0.673734,1.5259928,0.26388147,1.1266037,1.2803816,-1.226202,-0.9884671,-1.7834171,-1.2950735,-1.497917,1.3364034,1.7024593,0.042972434,-0.21002275,0.6323326,-1.4180235,0.61941504,-0.19465987,0.5877007,1.0332006,0.38858116,-0.5749062,-0.57211024,-0.827738,0.8693279,-0.41299623,0.75905466,-0.6017564,-0.67309666,-0.3246606,0.08678151,1.5514882,0.89333826,-0.7511295,-1.41704,-0.22129257,-0.73001593,1.1644337,-0.38882983,-0.9677469,1.3194014,1.0949389,-0.6159205
4,-0.14683393,0.33094785,0.0,0.0,-0.5456805,0.90554607,0.037602313,0.0,2.0,-1.5523694,-0.22518252,-0.22919117,-0.8785175,-0.78666216,-0.32881027,-0.757997,0.38079187,0.8307181,0.70351094,1.2600844,0.3048821,-0.53816956,0.3097192,0.6132285,-1.5648326,-1.5571579,-0.33004338,-0.5318474,-0.5528423,0.14242849,-0.6858439,-1.0370883,-0.335432,-1.1735157,0.68172884,-0.20531714,-0.36627278,0.3311036,-1.2352277,0.5530648,-1.4089441,1.1263498,-0.055768568,-1.4848137,-0.20136331,0.03290117,-0.35475457,-1.3001083,1.5407051,-0.15864815,1.2145015,1.5419166,-0.1934301,1.6861572,-0.3987081,-0.33208835,-1.3269662,1.094483,-0.5822637,0.25833967,0.27676943,-0.17342104,-1.6356304,-0.765085,1.4163113,0.085388415,-1.3941153,-1.2909917,-0.38469228,-1.2497449,1.1422,-0.20520025,-0.99628377,-1.1013966,-1.7537293,0.628408,0.7522258,0.9675525,1.5600876,0.17428234,1.5452504,-0.9533161,1.4234903,-1.4544941,-1.855716,-1.555992,0.28161544,-0.5783513,1.1995963,-0.20098783,0.19308421,-0.14531618,-1.560744,-0.63757056,-1.5605259,-1.3823233,1.3812963,0.9113427,0.99439186,1.1939763,-0.6768983,-0.51674545
5,-0.14683393,0.7222462,0.0,0.0,2.222264,1.3675593,0.57477826,0.0,0.0,0.013964887,-0.22518252,-0.22919117,-0.8785175,-2.1429763,-0.32881027,1.538686,-1.7980717,-0.7814197,-0.8731234,0.31821254,1.0708696,-0.68352103,1.505564,-0.4771447,-0.020474844,-1.6275694,-0.6782513,-0.44463968,0.614858,-0.48031273,1.0514162,-0.9947281,-0.441979,-0.9902907,0.11863226,1.7459575,1.7207016,1.5400575,-0.39839366,0.048260853,0.008674598,0.29476207,-0.12671635,-0.9504271,0.46507245,-1.2107409,0.24352151,-1.1822902,-1.656136,0.7578162,-0.2803232,1.4505196,-0.140391,-1.3836439,-1.804943,-0.3938908,-1.6296047,0.03618833,0.281222,1.2441868,0.622655,0.42453632,1.4687985,-1.252871,1.4126797,0.04588479,-1.8202409,-0.3114653,0.5055708,0.85182494,-1.1434318,1.7019726,-1.4639293,0.20849317,1.2244359,0.83057284,0.62190396,-1.4255881,1.2723073,-1.4807144,-1.5327398,1.1550177,-0.6946281,0.058659382,0.2348517,0.7050848,0.42973763,-0.26895365,-0.6365091,0.99619204,-0.0034719922,-1.3896784,0.71983504,-1.1535583,-0.41466537,0.41711527,1.1153585,-0.064566925,0.22791685,0.59351516,1.0674016,-1.0965879
6,-0.14683393,-0.19828774,0.0,1.0,-0.5456805,-0.94250715,2.186306,2.0,2.0,-0.100524746,7.274543,-0.22919117,-0.8785175,-2.1429763,3.1323507,-0.86663187,-0.89910036,0.062164173,1.1500691,-1.1068296,0.548868,-1.0423161,-1.0090646,0.6854537,-1.262276,-1.540204,0.2747542,-0.47911087,1.153153,-0.26067847,-1.0201374,-0.08843963,1.744945,-1.8248218,-1.4298819,1.543158,-0.51351124,-0.7911269,0.20402496,0.10917609,-0.05460728,-0.27616477,0.3708529,-0.18530004,0.41221926,-0.8998813,-1.3503695,0.6645387,0.020538708,0.41743368,0.18550763,0.7040104,1.4244046,-1.3287394,-0.26253816,-0.0848131,0.6711488,0.32973215,-0.3847732,-0.7993572,-1.6938317,-0.6408956,-1.6550469,0.7631547,-1.3062686,-0.9242423,0.08756601,1.6896086,0.021180136,0.5245545,-0.71664476,1.0391676,1.2576237,0.41749308,1.1293141,-1.3184972,1.3379359,-0.7136102,-0.8099333,-0.18914713,1.3369223,-0.4540152,-1.5092177,-1.5908316,-0.2814943,-0.5965659,1.705169,0.73982745,-1.1324587,0.35702974,0.05500628,0.7637601,-0.5960496,0.2668888,-1.5658971,0.44440615,1.5878731,0.24712574,1.0847375,-0.53126526,-1.4850268,1.1989946
7,-0.14683393,-0.31363592,1.0,1.0,-0.15025985,-0.4804938,-1.1902283,2.0,0.0,-1.2098818,-0.22518252,-0.22919117,1.7836568,0.5696519,-0.32881027,-1.6065022,1.1794739,-1.580011,-1.4028529,1.4103452,-0.017697744,0.11263763,1.1251489,0.73927754,1.0807256,1.0933385,0.50219935,-0.03617346,0.02524126,-0.22139762,0.19540864,-1.0198183,1.5855136,-0.8741527,-0.7265372,1.2401994,-0.42681068,-0.5377727,-1.5812466,1.4787785,-0.76254267,-0.15789351,-0.10656135,0.7648212,-1.4250582,0.9994305,-0.40897575,0.6620781,0.17525792,1.595947,-1.7218815,0.19370788,0.012277354,0.9376235,1.3413069,0.9666028,-1.3930854,-0.4059514,0.11179248,-0.9146113,-0.3266342,-1.3559321,0.7888963,0.60816485,-0.5628183,1.5452743,0.7129506,1.145819,-0.6870755,-1.6688812,-0.26868063,0.7560405,-0.68255687,1.2002957,-0.5631461,0.90760183,0.6636411,-0.7265543,0.63149863,0.98151267,1.5759877,1.317897,1.1597581,-0.9514079,0.25052154,0.85306233,1.707086,0.8700347,1.1034753,0.49456078,-0.51238465,1.218425,0.32905784,-0.3207826,-0.25048736,-1.0077271,0.69883424,-0.5578054,-0.43665642,-1.0066243,0.92875165,0.97167844
8,-0.14683393,-0.078346774,0.0,0.0,-0.5456805,-0.018480532,-0.9600101,2.0,0.0,1.9606686,-0.22518252,-0.22919117,0.45256963,-0.78666216,-0.32881027,-0.4058564,-0.44809797,1.1213742,1.5516659,0.7107493,0.4330623,1.0796567,1.0150802,0.59785867,-0.24297379,0.62439436,-0.60937804,-1.144834,-0.89612085,-1.3632574,-0.13449056,1.148646,-0.068962544,0.7375457,1.3077067,1.953126,1.116768,1.3858575,1.5497406,1.6686455,-0.47562227,-0.21352163,0.2822363,-0.18656461,1.5051031,1.2218399,-1.7589723,-0.25760534,-0.02852601,0.5752815,1.4134084,-0.0636482,-0.9194606,1.0564958,-1.5145407,-1.1219538,0.8110601,1.0950676,-1.0505799,-1.3662708,-1.7899613,-0.033101603,0.12465536,0.6247289,-0.39888725,-1.6742724,-0.12482097,1.7464355,-0.106439665,-0.6987547,0.38164368,1.1997252,0.24759221,1.2106817,-0.37682468,-1.3919215,0.22881185,-0.26956442,0.8817733,1.9233977,1.6582401,1.4764572,-0.49836406,1.000587,1.0282426,0.040753543,1.1030439,-0.118153065,-0.9731602,-1.2168968,-0.59258825,-0.17789802,-1.5639656,-0.13075228,0.3158121,0.7640893,-0.42767882,0.10275449,0.3194745,0.3761786,0.4520297,-0.057494305
9,-0.14683393,-0.34849873,0.0,1.0,1.0360022,0.72074074,-0.80653125,1.0,1.0,0.4954439,-0.22518252,-0.22919117,0.45256963,0.5696519,-0.32881027,1.2741113,-1.4284937,0.06353805,0.10344999,-1.5673052,-1.232695,-0.85142154,-1.5771327,1.6630766,0.51748574,-0.56389403,0.7266763,-0.26653987,0.7158815,-0.10208464,1.2545298,1.0508215,-0.31956375,0.05564584,-1.0217437,-0.52491915,0.28927314,1.1264393,1.7094098,0.011650932,-1.5908457,1.6955056,0.6132864,-1.4129926,-0.50567883,-0.819487,-0.5044319,0.7959135,0.11009891,-0.6401757,-1.068146,-0.035613023,0.17961612,-1.5421278,0.085674845,-0.54852074,-1.5608385,-1.3858924,0.13297184,-0.7868829,1.5160733,-1.0375481,1.1935043,0.2351313,0.9810846,0.3050098,1.0855553,1.0257787,1.7926898,1.3182347,-1.4247639,0.5277531,1.0307504,1.0327584,0.43231264,0.8987629,1.476998,-1.4823574,1.6937183,-1.3020347,1.6855534,-1.1435063,0.23832767,1.5587566,0.15834907,-1.060942,-0.14988273,0.3339524,-0.45877552,-1.4848986,-0.15560569,1.4379938,1.3611346,-0.6894465,-0.012595403,0.028135559,0.038871344,-1.7512515,0.114154,-0.16132858,-0.23942102,0.22354554
