,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.05570304,0.094982415,0.0,1.0,0.7257175,-0.16732208,-0.9178541,4.0,2.0,-0.31534413,-0.10707128,0.51602936,-0.6381825,-0.14185014,0.8582635,-0.39455658,1.4247139,-0.17861882,1.1539447,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,2.4739792,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,0.18337484,-0.08914558,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,3.494826,2.0263453,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,0.4619236,0.0690385,-0.09653916,1.2935674,-0.22664395,-0.2708319,-0.6685954,1.0910114,-0.342074,-0.27241293,1.0982996,-1.8768079,-1.0114264,-0.3696831,0.6891139,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,0.68756664,0.62265694,0.61305827,-0.17720987,-0.59854585,1.1976507,1.5578837,1.2507432,0.27300015,-0.9514251,-1.7581109,-0.21792318,-0.4669488,0.07303042,0.007866213,0.24386965,0.17376496,0.90403575,0.53343457,0.3315987,-0.28123176,-0.68427455,1.6550314,-0.5214998,-1.0231427,-1.3332732,1.7132272,-1.3511627,-0.617998,-1.3998086,-0.9585005,-0.45106277,1.4242874,-0.34660482,1.7912378,-1.5892872,-0.6125058,-0.4205179,0.97813416,1.5682973,-0.52788234,-0.22917777,-0.90382075,1.0771941,0.68242705,-1.6991612,0.40288904,1.0457709,-1.5047847,-0.26704112,1.1165246,1.7187904,0.373422,-1.5464102,-0.20587708,-1.1702714,0.4741724,-1.1029829,-1.2042556,0.21129666,-1.336061,0.88240474,1.4651392,1.402434,-0.29592964,0.23999919,0.699549,0.09074101,-0.09676188,-1.7486073,-1.5357904,-0.2478406,-0.13180342,-0.90342593,0.09221129,0.35466295,0.7593407,-0.5866479,-0.46490338,1.1729255,0.30511948,0.66610694,0.06159468,1.1752456,0.67513275,1.2203596,-1.0867808,-0.6777174,-0.0843813,0.09781176,0.35135612,1.151724,0.031652015,1.5929269
1,0.05570304,0.52568865,0.0,0.0,1.180266,1.5700982,2.01627,0.0,2.0,-0.7380335,1.6696885,-0.5007035,-0.6381825,1.4733022,0.8582635,1.1509098,-1.2887189,5.681838,0.81646085,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,3.0848093,-0.2100752,-0.17844589,-0.071477234,-0.10102843,0.673465,0.74869263,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,0.16570608,2.0263453,-0.40945297,6.244998,-0.23738585,-0.10878111,-0.06841186,-0.5449274,4.893202,5.2368255,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,1.4551624,-0.17118718,-0.09653916,-1.0504748,-2.170175,-0.9167543,0.056089364,4.3415904,-0.342074,-0.27241293,0.48186752,0.13686623,-0.0141889285,-0.3696831,3.338742,-0.27229378,-0.2149373,0.90420854,-0.27333185,-0.21065095,-0.65102625,-0.404451,0.68756664,0.62265694,-1.6423892,5.685746,-0.59854585,0.69880706,-1.1176666,0.363182,0.3841233,0.8793745,1.0194782,-0.6619493,-1.4581003,0.4628145,-1.5107872,1.0765954,0.028284224,1.698446,1.4163194,-1.0044878,1.2155297,0.9982639,-0.83653265,0.55234027,1.6019363,0.9781239,-1.3318125,-0.013518689,-0.16168356,-1.6400151,1.6703372,1.2591652,-0.8977444,0.56566346,-0.030452164,-0.4840561,0.011204264,0.19749883,1.2155956,-1.5464269,0.44732442,0.010709429,-1.2942652,-1.1442888,0.680992,1.2220498,-1.5714135,-0.25116855,1.4922577,-0.19195345,-0.40757102,-0.9292107,-1.5343217,-1.0710733,0.18411477,0.08505711,0.17214523,-0.81179607,1.468198,1.3601211,-0.050689284,0.9574661,0.8907513,-0.57919127,-0.9831293,-0.9635286,-0.87974876,-0.31702772,-1.7647463,-0.7714836,0.07605431,-0.29064715,0.23472248,0.95742154,1.4564307,-0.6239444,-0.8372347,0.011479906,0.2698148,-1.2050908,-1.5927155,-1.0171242,-0.88675064,-0.22832504,0.35646555,-0.7556713,1.590472,1.2437918,0.42693356,-0.4428555,-1.1108546,0.58726937,0.6930369,-1.4228425
2,0.05570304,-0.78280383,1.0,1.0,-2.4561224,-0.16732208,-0.18432303,0.0,2.0,-1.6832511,-0.9854429,-1.4250062,-0.6381825,-0.9494263,-1.1280253,0.7043006,-1.2887189,-0.17861882,-1.2084426,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,-0.7692866,-0.07146655,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,0.16570608,0.59805197,0.87887156,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,0.023344181,0.19586653,0.63677186,13.57623,13.5163765,0.0022549303,10.311447,1.4551624,-0.17118718,-0.5310356,-1.0504748,0.49875826,-1.1013036,0.41843173,1.0910114,-0.342074,-0.27241293,1.0982996,0.9017723,1.5695142,2.707977,2.013928,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,1.5440485,-0.404451,-1.4701146,0.62265694,0.61305827,-0.17720987,1.685012,0.8707982,1.2871664,0.40764865,0.88292044,1.2245048,1.5157175,-0.48260853,-1.755419,-0.6590717,-0.98567647,-0.40348145,0.034953244,1.0035672,1.313757,-0.7909669,1.5759145,-1.021689,-0.14779365,-1.0243012,-0.8782802,-1.5020087,-0.81477326,-0.42295474,-0.048416346,-0.60390353,-1.6868745,1.2564449,-0.83315927,-0.79081315,-1.6922516,-0.81550807,-0.8818281,0.22640017,0.14396457,1.0720191,1.0323524,1.448836,0.004566042,1.5309081,1.3247999,-1.2669809,0.72751504,1.4670731,1.5813959,1.1814717,0.6024742,1.6176993,-0.8157656,0.7506971,-1.3466384,0.57219726,0.775292,0.4850673,0.094391,-0.24979433,1.3601723,-0.08898134,-0.8232407,-1.6848906,0.69395846,0.80096817,0.11186453,0.84277487,0.5104361,0.023427319,-1.1221703,-0.5303962,0.9576575,0.992634,-1.5270679,-0.25793296,0.36279792,0.91330254,-0.4836198,0.13137129,-0.40286985,-0.56128794,-0.5969758,1.1416104,-1.609049,-1.6829497,0.5833741,-0.4614134,1.554637,-1.0239786,-0.30308312,-0.33866563,-0.028771421,-1.1091824
3,0.05570304,-0.5413598,1.0,0.0,1.6348146,2.2650661,-0.18432303,4.0,2.0,0.3422153,-0.22683394,-1.0244751,-0.6381825,1.4733022,0.8582635,1.3749539,1.4247139,-0.17861882,1.1539447,-0.2995864,-0.12655449,-0.07210189,-0.07278278,4.8984623,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,1.5912718,0.4989437,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,0.16570608,-0.8302414,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,4.893202,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,4.890997,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,0.9061449,-0.2691274,-2.2719781,-0.17855728,0.41843173,-0.53427804,-0.342074,-0.27241293,0.01840216,0.011317322,0.19219294,-0.3696831,-0.63570017,-0.27229378,-0.2149373,0.90420854,-0.27333185,-0.21065095,-0.65102625,2.4782937,0.68756664,0.62265694,0.61305827,-0.17720987,-0.59854585,1.5608199,0.4203343,1.4658986,0.65787506,0.43948522,0.30120656,-0.8384552,-0.9012752,-1.1574303,0.7480881,1.3177973,-0.9670873,-1.4460462,-0.47050878,1.5091832,-1.2751426,0.17153984,0.988806,-0.98305345,-0.57336044,-0.7886665,-0.057500456,1.5458328,0.387794,-1.264334,-0.552556,0.64478165,1.7607701,-0.28855214,0.1365211,-0.93661255,-0.6273067,-1.2542459,-1.0058018,-0.70694286,-1.4501284,-0.7507793,-1.5686289,-1.5383573,1.8594584,-0.77457017,0.69642115,-0.7744802,-0.05824514,1.0302274,1.1284068,0.08112909,-0.4460813,-0.5476521,1.3372697,-1.4501027,-0.41637957,-1.7100055,0.603199,1.7121366,0.3124247,-0.48481572,-0.84134,0.5748045,-1.086848,0.67999434,-1.1553186,-0.7036609,1.7064795,-0.59089535,1.5329268,1.4429742,-1.0180249,-1.4095261,-0.43662763,0.6901447,1.5731997,-0.4054218,-0.59297687,-1.3869085,0.8800424,-0.13173643,-0.04202138,-1.1140914,-1.690514,0.5915944,-0.11722092,1.096822,-1.6650512,1.2749351,1.1250995,-0.76857823,-0.6634722,0.856154
4,0.05570304,-0.9333331,1.0,1.0,-0.0015601978,-0.51480615,-0.18432303,0.0,2.0,-0.8730646,-2.1233563,-1.0552851,-0.6381825,-0.9494263,-1.1280253,-0.6543358,-1.2887189,-0.17861882,-1.2084426,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,-0.5235981,-0.07146655,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,1.2754127,2.0263453,0.87887156,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,1.4551624,-0.17118718,0.9061449,0.51222,0.54308057,0.28281587,1.5054588,-0.53427804,-0.342074,-0.27241293,-1.379255,-1.8768079,1.5695142,-0.3696831,-0.63570017,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,1.5440485,-0.404451,0.68756664,-1.6210984,-1.6423892,-0.17720987,1.685012,0.74779296,0.9688256,-1.5428843,0.009091125,1.1808099,1.6570971,0.76940525,1.0569135,-1.3458765,1.6280209,-0.5770982,-1.1126473,0.5990814,-1.7602705,-0.34190032,0.67337817,-1.5983226,-0.53943866,-1.1567683,-1.3666505,1.6993493,-1.404406,-0.1067562,-0.5710792,1.5494621,0.2726098,0.55983335,-0.05941216,0.77787685,-1.4787256,0.07070449,1.2038159,0.07676453,-0.26310563,-1.4498811,0.6051998,0.6197657,0.6183436,-0.8017438,-0.14869323,-0.233598,-0.7082258,-0.37897074,-1.4147638,-0.110400304,-0.22686888,-0.35636476,-1.01845,0.054486923,0.5065605,0.46332008,1.3030002,-1.786059,-1.0165495,0.39328066,1.579898,1.3874608,-0.3345339,1.5636525,-1.102945,-0.7528024,-1.7575539,-0.3944688,-0.953137,-0.8471705,1.5426786,-0.57015777,-1.6904699,0.65420914,1.490934,0.021106444,0.59711003,1.7818075,-0.37994024,0.96402836,-1.4486978,0.36092782,-0.38606262,1.410241,-0.7842115,-0.8627065,-0.53325397,-1.5752324,-0.53575766,-0.91999096,1.0461779,-1.3932627,-1.7166362,0.09751379
5,0.05570304,1.0935528,0.0,0.0,1.816634,0.18016195,-0.18432303,0.0,1.0,-0.1979091,0.53177506,-1.2093356,1.844225,1.4733022,0.8582635,-0.4275798,1.4247139,-0.17861882,1.6748303,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,2.4739792,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,0.62651885,0.18935071,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,-0.94400054,-0.11609469,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,2.0349085,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,-0.8318408,-0.63375616,-0.76099473,0.19054124,-0.306253,-0.53427804,-0.342074,-0.27241293,0.08788513,0.014794385,-0.39516813,-0.3696831,-0.63570017,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,0.68756664,0.62265694,0.61305827,-0.17720987,-0.59854585,0.30842575,-0.09186459,-1.3426311,0.2815215,1.0239775,1.174598,1.3317754,0.979847,1.5300009,-0.48423696,-1.1123093,0.8048708,0.41350672,-1.7221445,1.2203151,0.78970027,-0.3997544,0.5423301,-0.14646104,-1.1763237,-0.049271833,-0.24411736,-1.7446826,-1.662396,0.9275754,0.9171786,0.5955301,-1.0030911,0.82453567,-1.5939645,1.2647833,-1.7542204,0.28909603,-1.5136847,0.42804927,-1.537911,0.5674194,0.18985394,-0.022399548,-0.5514287,-0.297622,1.1574708,-0.4496227,-1.0718863,0.54460627,0.43898705,0.15424111,0.06863474,-0.97626823,0.90479094,0.5400766,1.3694291,0.29760876,0.7307419,-0.38638157,-0.42904443,-0.20616032,-0.02724564,1.5877224,-0.47197393,-1.2179545,-1.2547678,1.008291,-1.3736799,-1.4468248,1.6549407,1.4467251,1.180497,-0.697766,-1.0758518,0.6371257,-1.5921619,-0.005500839,1.372971,0.43034118,-0.4954858,1.1411765,-1.3934978,0.49233258,0.37674132,1.2969136,1.2854121,-0.91066635,-0.29864648,-0.40640092,1.1086155,0.018750913,0.6915082,-1.2735397
6,0.05564242,0.7997742,1.0,1.0,0.5438981,-2.5997105,-3.118447,4.0,0.0,0.20718418,-1.3647474,1.5635724,-0.6381825,-0.9494263,-1.1280253,-2.652235,-1.2887189,-0.17861882,-1.2084426,0.58021444,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,4.8899846,-0.17844589,-0.071477234,-0.10102843,-0.7360475,-1.0911299,3.642796,8.075244,-0.2655132,8.102545,-0.10088672,-0.071825325,1.2754127,-0.8302414,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,-0.09653916,0.14759123,2.705657,1.75921,-0.306253,-0.53427804,-0.342074,-0.27241293,-1.379255,-1.8768079,-1.0114264,2.707977,-0.63570017,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,0.68756664,0.62265694,0.61305827,-0.17720987,-0.59854585,-0.580587,0.88734597,-1.8259847,-0.50974256,-1.2901473,0.8226981,-1.4688867,-1.4479625,0.034306746,0.6128664,-0.8078181,1.040263,1.496559,0.8099597,-1.4666467,0.7313783,-0.5174883,0.6002248,0.09214967,0.62147844,-0.8846456,1.0016708,0.9952091,1.2515258,1.7135755,-0.04454068,-0.20538248,0.008775616,-0.5761872,0.4508426,1.0636914,-1.8168478,-0.8762264,0.41871992,0.43491775,-0.0087624155,0.008228849,0.8081256,1.1556139,-0.47071347,0.016753653,-0.19807032,-1.102926,-0.6068361,1.6538243,-0.52842385,-1.5953882,0.28962785,1.0293083,-0.82350194,-1.5972501,-0.08822462,1.1777807,0.99900573,-0.45818478,1.4516888,0.98515505,-0.8020406,1.2752603,-0.082264215,-0.56235886,-0.5718602,1.4623061,0.92632395,1.0252694,0.43309414,0.843594,-1.669158,-0.08861573,0.959196,1.4969442,0.05582352,0.7593433,1.4953625,0.18188168,0.32775804,-0.24554102,-0.70572454,0.7032977,-0.22912465,-1.6786797,-0.97930825,1.5860282,0.84760684,0.38672534,-0.73175997,-1.4640155,0.50216675,-0.4816402
7,0.05570304,1.0051452,1.0,1.0,0.36207867,0.148051,0.016001195,1.0,1.0,1.9625884,0.53177506,0.30035874,0.60302126,1.4733022,0.8582635,0.11979295,0.52023625,-0.17861882,1.1539447,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,0.29503253,0.15083666,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,0.16570608,-0.8302414,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,-0.5978812,-1.0504748,-0.5790989,-0.6399304,0.78077406,-0.53427804,1.9306772,-0.27241293,0.035676442,-0.06047478,-0.041061707,-0.3696831,-0.63570017,2.9963439,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,-1.4701146,0.62265694,-1.6423892,-0.17720987,-0.59854585,1.2136697,1.5092803,0.9365733,-0.22597273,-0.53959656,-0.46287194,0.89430076,0.020998001,1.0842192,-0.17399636,-0.252814,0.9022407,0.24924427,-1.6647606,-0.5155675,-0.8500211,-1.3821261,-1.5173608,-0.054182734,-1.3001626,-0.65557784,-1.0010551,-0.19547056,1.3741298,-0.34044397,-1.2332246,0.17004263,-1.4180658,-1.4998871,0.6411697,0.3344682,0.27120405,-0.49441808,-0.5828501,1.1577295,0.29235804,-0.5172809,0.53078395,0.7352588,0.8121075,0.46912968,1.2664522,0.099156,0.38344103,0.9166209,0.4842382,-0.21615656,-1.1323099,0.098997094,0.5907701,0.44656274,1.072612,0.96816784,-0.45281884,0.83970684,-1.4893816,0.43092695,-1.8633934,1.2840519,0.10109599,1.3128998,0.16630334,0.35967255,-0.78404003,-0.49483645,0.14941178,0.2113045,0.07187769,1.7560828,-0.4776224,1.3436968,-0.040637705,0.048575133,1.5153298,-0.4667597,1.1562569,0.59494627,-0.63155824,-1.0566764,1.4860436,1.1313794,1.2415448,-0.6055143,-1.560995,-0.92708004,-0.35775965,-0.6053549,-0.49087226,1.3988719
8,0.05570304,0.39801356,0.0,1.0,-0.09246991,1.222614,1.282739,3.0,2.0,-0.3329402,1.1007317,0.11549822,-0.6381825,0.66572607,0.8582635,0.938633,1.4247139,-0.17861882,1.1539447,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,-0.40919432,-0.12599596,-0.07270588,-0.32746562,-0.2100752,-0.17844589,-0.071477234,-0.10102843,0.46674436,0.52019525,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,0.16570608,-0.8302414,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,-0.33049878,-0.2691274,1.2593863,3.9738011,1.1431165,-0.53427804,-0.342074,-0.27241293,-0.79733783,-0.45650318,-0.5136473,-0.3696831,-0.63570017,-0.27229378,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,-1.4701146,0.62265694,0.61305827,-0.17720987,-0.59854585,-0.58086234,-1.6971896,-0.94732004,0.36128387,0.8206422,0.28769156,0.7185562,1.0387876,1.2542416,0.93890643,0.43109772,0.11818944,0.8435393,1.4464263,-0.039143205,0.8469692,-1.2585152,-1.0321108,0.13368876,1.644939,0.7262833,-1.1236742,-1.2795568,-1.6482592,1.2980338,-0.29091945,1.471345,-0.6755423,-0.66813844,1.1643907,-0.88138586,0.5619695,-1.2663468,0.5001844,1.7854043,0.83998346,0.1257899,-1.2345754,-0.537865,-0.1711895,-0.6938754,-0.59796,-1.1782017,1.797246,-1.0387304,0.10247098,-1.3938724,-1.4551249,0.9745057,-1.5682876,0.10538055,-1.2410281,-0.61441374,0.899021,1.3597327,0.26652938,-1.7035325,-1.4205208,0.85626936,0.37899333,-1.0256871,0.87463593,0.33340648,0.86573863,0.05336101,0.1720639,-1.5844753,1.9027263,0.45226997,0.5769853,-1.5375617,0.839576,1.316754,0.6120927,0.2779929,-1.6084907,-1.5951688,0.5719689,0.29338527,0.3380111,0.22067982,-0.7052918,1.2326124,0.12314646,-1.4544405,0.7660834,0.94909996,1.4792149,-1.1224729
9,0.05570304,0.4762209,0.0,1.0,-0.18337962,0.014107498,0.07838899,4.0,2.0,-0.1979091,0.3421228,-1.3017658,-0.6381825,-0.9494263,-1.1280253,0.047602262,0.52023625,-0.17861882,0.47897696,-0.2995864,-0.12655449,-0.07210189,-0.07278278,-0.20562172,-0.14335461,0.08701342,-0.08920491,-0.0956177,-0.093571246,-0.10014976,-0.096448794,-0.100118876,-0.06754934,-0.0999661,2.4739792,-0.12599596,-0.07270588,3.0848093,-0.2100752,-0.17844589,-0.071477234,-0.10102843,-0.27790958,-0.07146655,-0.27778146,-0.13192534,-0.2655132,-0.12206401,-0.10088672,-0.071825325,-0.94400054,-0.8302414,-0.40945297,-0.16012815,-0.23738585,-0.10878111,-0.06841186,-0.5449274,-0.21977125,-0.20929343,-0.07595636,-0.39867306,-0.19172704,-0.19585057,-0.16139492,-0.07528844,-0.072192974,-0.11087531,-0.006880101,-0.16808316,-0.07064977,-0.18492977,-0.11954237,-0.2834517,-0.10420942,-0.24301107,-0.11630307,-0.15267259,-0.21698818,-0.10146702,-0.0722757,-0.19707526,-0.05695327,-0.088497005,-0.10120209,-0.07984561,-0.8714255,-0.17118718,3.1788955,1.710286,-0.007853744,0.09826661,-1.39328,-0.53427804,4.2034283,3.8755982,1.0982996,0.9017723,1.5695142,-0.3696831,-0.63570017,2.9963439,-0.2149373,-0.5618919,-0.27333185,-0.21065095,-0.65102625,-0.404451,0.68756664,0.62265694,0.61305827,-0.17720987,-0.59854585,-1.0410335,-1.1268861,-0.26172003,1.1965872,-0.14966816,0.6525597,0.5463622,-1.6674289,-0.3927869,0.16546664,-0.7988322,0.2384786,0.31532812,0.46414047,0.36922526,0.46574607,1.2981068,-1.3552387,0.96265686,-0.86122525,0.7311354,-0.45949993,-0.73295057,0.11486675,-0.679783,1.2067052,1.1156145,-0.29121125,-1.4585003,-1.645076,-1.1188565,0.3850773,-0.26701236,0.59809005,0.97708684,-0.10904085,0.89418894,1.3052471,-1.1718822,1.8593755,0.72652656,0.53758776,1.4170506,1.8130229,0.2897775,-0.6024489,1.7375118,-0.93258035,0.41193974,-0.388109,0.5652736,-1.357766,0.8890593,-1.0933292,-0.904963,-0.5285978,-1.5349829,0.7488605,0.6981743,0.34332222,-0.12264161,1.7737619,-0.41501328,1.5709859,0.44436288,-0.47925842,-1.2090509,0.18043439,-0.9669289,1.3921337,-0.20909171,1.3600069,-0.10979333,0.33975238,-0.044936605,1.4719689,-0.30211782,0.29519555,-1.2940923,-0.20915683,0.050956234,0.2622395,1.1178505,1.2333566,-0.17973727,1.5801908,1.5989262,-0.8176636,-0.92470515
