,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.03068377,-0.28237674,1.0,1.0,-1.3093549,0.14788434,1.5766344,2.2211614,2.0,0.9670882,-0.26076928,-0.5545518,0.4974273,-0.13809934,0.7861455,0.6014221,0.56448936,-0.20479736,0.11728362,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.35521758,0.3187687,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,0.44347134,0.47271696,0.07510248,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,4.774783,-0.055067778,-0.064034365,-0.06380104,-0.044876654,-0.92242146,-0.17635377,0.8097929,-0.4422377,-0.095110044,-0.8236404,-0.9783417,4.031625,-0.35661107,-0.27802417,1.0389596,-1.9404607,1.5897775,-0.35419396,4.347806,-0.2896264,-0.2292446,1.0763683,-0.27652445,-0.25773302,1.5949248,2.5296514,-1.413777,0.61409307,0.5695155,-0.14404352,-0.510629,1.2049016,-1.109321,-1.5168488,-0.39315826,-0.7971165,0.03631685,-0.73149157,-0.64198333,-1.3961459,-0.8609828,1.4316663,-0.7408223,0.7113937,1.2283218,1.0329473,-0.99033403,-1.1746678,-1.5794623,-1.5613652,-1.0248742,1.6957328,-0.40339196,0.90858,-0.079767786,0.04184463,1.5175284,-1.3330495,-0.122274585,-1.1855838,0.1713021,-0.67375994,0.16334535,0.54138213,-0.44236,0.42245838,0.45790693,-0.26288128,-0.33267492,-0.37479207,-0.34269604,-1.4458165,-1.5538067,-1.4249457,0.6733644,-1.624972,0.028863436,-1.2966137,-1.6976385,0.49057266,-0.14458951,1.6608301,-0.6073348,-1.0254402,0.6388581,-0.5673375,0.9168776,0.9993921,-0.16436273,-0.77029777,-1.6875684,-0.4194537,-1.4737005,0.77459526,-0.101383395,0.09823267,0.63954836,-0.2542067,0.31467143,1.1303759,-0.18967089,1.3748504,-0.98952377,-1.3913957,-1.6481141,1.4514287,0.4204228,-1.0024893,0.15965797,1.4764634,1.2899915,-1.349791,-0.6676495,-0.7348777,0.19965693,0.8558948,-0.5817428,0.39426878,0.0060699796,1.4631406
1,0.03068377,0.3707637,0.0,0.0,0.045081798,0.14788434,0.39544207,1.6467068,1.0,-0.2800671,-1.119257,-1.1434135,-0.67462015,-0.13809934,0.7861455,-0.27785844,0.56448936,-0.20479736,0.6722004,-0.32073393,6.666036,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,2.51735,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.9868755,-0.934551,-0.26181135,-0.16979556,3.644854,-0.05452974,-0.07108338,-0.10593647,-0.26651677,0.4755104,-0.01917366,-0.16367154,4.1567173,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,4.728254,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,-0.92242146,-0.17635377,-0.70990425,-0.82263255,-0.11626915,-0.34189528,-0.25923508,-0.5140954,1.927622,-0.27802417,1.0389596,-1.9404607,1.5897775,-0.35419396,-0.6169205,2.5425558,-0.2292446,-0.542304,-0.27652445,-0.25773302,1.5949248,-0.39783406,0.71440595,0.61409307,0.5695155,-0.14404352,-0.510629,-1.0228226,-1.7329962,-1.4563245,-0.19325633,-0.02452649,0.18981287,1.3106796,-1.0050731,-0.2978589,1.5035903,-0.46830055,-1.5901747,1.3425869,0.37381193,1.5957129,0.45442197,1.4909604,0.35537267,-1.2162666,0.63457495,0.1488027,-1.6493179,0.95888007,-1.3115271,0.068726465,0.53453946,0.94396037,1.5295134,-1.2453914,-1.001312,-0.43890804,-0.3123086,0.27790856,1.6972713,0.38347188,0.5957566,-1.3854041,-0.22578317,-1.2746413,-0.9920607,1.220186,-0.45430693,-0.90381145,1.2481483,-0.11281712,0.6451674,-0.4268422,0.77522683,-0.4455707,0.22040336,0.3316305,-1.3468488,-1.152588,0.8491683,-0.13459279,0.42816138,1.0689682,-1.4919989,-0.66080046,0.39958,0.007830221,0.9794428,1.1648028,0.93693745,-1.2911954,1.637921,1.266647,-1.4129988,-0.54080594,-1.6406789,0.31422693,0.98562855,1.6982379,1.6783721,-1.4934402,-1.1259409,1.2817298,0.8423909,-1.1813935,-0.20267789,-0.005784679,-0.9650677,-1.4052073,-0.92806196,1.6235098,1.1053498,-0.20893665,1.0958073,-1.6008519
2,0.03068377,-0.12559019,1.0,1.0,-0.4966929,0.14788434,0.39544207,0.0,0.0,-0.4359615,0.25432336,0.18152548,-0.67462015,-0.98552155,-1.1847311,0.6187447,-1.27937,-0.20479736,-1.2538923,1.1841028,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,12.870974,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,1.0453436,1.4662654,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,-1.0139201,2.288982,-0.37478644,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,2.729262,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,6.8215113,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,1.3311905,-0.17635377,0.13761915,0.20986775,0.048506226,0.33254787,-0.9783417,-0.5140954,-0.35661107,-0.27802417,-1.4358932,0.8581682,-0.9899712,-0.35419396,0.6242612,-0.2896264,-0.2292446,-0.542304,-0.27652445,-0.25773302,1.5949248,-0.39783406,-1.413777,0.61409307,0.5695155,-0.14404352,1.9784899,0.9332038,1.6587781,-1.598698,0.38452306,0.8375945,-1.12695,-0.21123128,-0.82292676,1.1079462,1.5679857,-0.81462055,-1.1870841,-1.1962016,-0.32600978,-0.07590044,-1.2168844,0.7328563,-0.447469,-1.1496769,0.37314618,-0.65235543,1.4784373,0.9392247,0.15587862,-0.80341977,0.7713357,-1.6888709,1.3740214,-0.9552697,1.2532852,-0.0053655067,1.3724085,-0.077260114,5.927019e-05,-0.97850686,-0.8438667,0.44255388,-0.1523009,1.4108015,0.16377306,0.71159995,-1.0329007,-0.7777231,-0.30191782,-1.6354841,0.7518187,-0.278232,-1.7362745,0.62158513,-0.4249634,-0.90372044,0.010952066,-1.2061037,1.5192243,-1.7636124,0.76716506,1.2290956,1.3425193,0.14390464,-0.34931302,0.8822136,1.0191762,-0.8317215,-0.77308327,-0.8514897,1.2541723,1.5570722,-1.2254884,1.5524837,-0.010108752,-0.6174643,0.8575019,1.5418322,-0.7838586,-1.4809625,-1.5750234,1.0119027,-0.65778494,0.5218503,-1.1146537,0.99752384,-0.32685378,-1.5479466,0.31708133,-1.101522,-0.24026783,-0.26708692,1.4465014,1.4932277
3,0.03068377,-0.472282,1.0,1.0,-0.6772845,0.14788434,0.39544207,4.0,2.0,-0.2800671,-0.26076928,-0.31900704,-0.67462015,-0.98552155,-1.1847311,0.33307946,-1.27937,-0.20479736,-1.2538923,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.18247259,0.04398814,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,2.416961,-0.7261071,-0.37478644,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,-0.92242146,-0.17635377,0.3714187,-0.60526407,-0.078549765,-0.2880439,-0.61878836,-0.5140954,-0.35661107,-0.27802417,1.0389596,0.8581682,1.5897775,-0.35419396,0.6242612,-0.2896264,-0.2292446,1.0763683,-0.27652445,-0.25773302,1.5949248,-0.39783406,0.71440595,0.61409307,0.5695155,-0.14404352,1.9784899,-0.64367867,-0.8568729,1.327402,0.706886,-0.6398559,0.52539223,1.5226707,1.1388823,-1.5897362,1.6640483,1.3737055,-0.30248865,1.3138156,-0.10931013,0.8702271,1.1795404,-1.286125,-0.5798575,-1.5498413,-1.4787678,0.39048952,0.34847796,1.6190535,-0.8592261,1.5310284,-0.13627775,0.663247,-1.5897951,1.6065804,-0.96872646,-0.8022857,0.97979444,1.2675642,1.6908767,0.71133846,-0.32530934,-1.7139633,1.5072054,1.241271,-1.482908,-0.90129745,0.83128,-0.79230356,-1.1741419,1.6498978,-0.3431405,-0.67149585,-0.9812175,-1.4819026,-0.066676304,-1.5937178,0.7324703,-0.41179916,0.18407498,1.213263,0.08293006,1.7024678,1.5154741,0.2017996,0.65170187,1.1903306,-1.0411725,-0.24037367,1.3600981,-1.5405662,0.122448325,-0.8460796,-0.38823342,-0.9237079,0.37022862,1.1687135,1.4214233,-1.2407725,1.4882864,0.94041806,0.91108525,0.92714584,-0.79392695,-0.650017,-0.13529138,-1.505417,0.053743742,0.4891401,-1.2327722,-1.5025418,1.300684,0.11934569,-0.811687,0.9722212
4,0.03068377,0.26680478,0.0,1.0,0.22567336,0.8449577,0.9860382,3.0,2.0,-0.74775034,-0.08907173,-1.290629,-0.67462015,1.5567452,0.7861455,0.642701,1.4864191,-0.20479736,-0.23520134,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,2.51735,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,0.35392678,0.3049159,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,0.1297069,-0.7261071,-0.37478644,6.1203303,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,1.3311905,-0.17635377,-0.70990425,-0.0075007332,-0.7935061,-0.022733461,0.13967901,2.5163848,0.18561417,0.65729636,0.061119687,-0.0013221259,0.03844287,-0.35419396,0.6242612,0.25238457,0.62907475,-0.542304,0.40039912,0.2991751,-0.6316375,-0.39783406,-1.413777,0.61409307,0.5695155,-0.14404352,1.9784899,0.08345485,-0.045894723,-1.2181845,-0.8091561,-0.6271184,0.6305945,-0.983801,-0.18498923,1.5939109,1.6082673,-0.77161264,0.96829313,1.4559705,0.06882638,0.44025564,-0.023327464,-0.8625675,-0.08513117,0.9734512,0.8925408,-0.8421823,0.9086574,-0.4913431,-1.4827764,1.0861416,1.487458,-1.3905029,1.7040644,-0.40258083,1.4561707,0.5830823,0.96922654,-1.188813,0.62192994,0.00452916,-0.6268516,-1.1698714,1.4325316,0.5265427,0.8283825,0.6209094,-1.0514036,1.6728635,-0.36387658,-0.510155,-0.57550436,1.2393411,-0.4249994,-0.037707392,-1.5906653,-1.2472633,-1.5736535,-0.44483185,0.96995145,-1.4308966,1.099268,-1.0880007,-0.813601,1.1546451,-1.714905,-1.7059907,1.2564272,-0.5764696,1.0648034,-1.6650968,0.44363552,0.9227807,-1.7267935,-0.3917254,-0.81490475,0.8549089,1.4504644,1.5822393,-1.6763643,-1.5378493,-1.685728,1.026879,0.46530843,-1.5144451,0.5608801,0.0038451708,-0.62851673,0.7276512,1.2298242,-1.6956456,-1.4656123,-1.1597759,0.7745995,-0.6911686
5,0.03068377,-1.7370551,0.0,1.0,0.31596914,-0.54918903,-0.19515407,0.0,1.0,-0.59185594,1.1128111,0.5937287,2.8415222,1.5567452,-0.19929276,-0.5652538,0.56448936,-0.20479736,0.7834895,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.76107335,-0.13427883,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,-1.0139201,-0.7261071,-0.37478644,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,1.3311905,-0.17635377,-0.70990425,-1.040001,0.65622693,0.4288969,-0.9783417,1.0011448,-0.35661107,-0.27802417,-1.4358932,0.8581682,-0.9899712,-0.35419396,0.6242612,-0.2896264,-0.2292446,-0.542304,-0.27652445,-0.25773302,-0.6316375,-0.39783406,0.71440595,0.61409307,0.5695155,6.9992776,-0.510629,0.19864935,1.5136307,-0.90845346,-0.2291796,-0.27539688,0.7950469,1.0179641,0.7611282,0.25601953,1.694458,0.5257445,-1.1141037,-1.3888439,0.20996587,-1.1429377,-1.2585742,-0.7456288,-0.6617971,1.2991507,-1.4478025,1.6479088,0.6467201,-0.963299,-0.43314257,-1.5668956,-0.5817336,1.3571844,1.1334854,-1.0955323,-0.30560467,0.36891252,0.38745096,0.55889297,1.2019359,0.9041627,0.304597,-1.0801909,-1.4357876,1.3896937,0.11264262,1.2890183,-0.18241698,-0.8557912,-0.47882316,-0.51134115,0.6519146,-0.8958984,-0.1348334,0.9487101,-0.53129786,1.0605338,1.0489537,-0.33874014,0.18829234,0.29230008,-0.9959753,-1.4349447,-0.025922747,-0.28666934,1.1188958,-1.3600708,1.1744299,1.2117591,-1.1157902,-1.5152574,0.20755568,-0.074660525,-0.069379665,-0.6393623,-0.51907635,-1.1995307,1.2712922,-1.4820535,-1.4353005,-0.16561152,-1.6904367,-1.6422503,-0.7990155,0.024935996,0.2880027,-1.287251,0.2256773,-1.0252463,1.5473715,-1.1038578,-0.87460977,-0.45749596,1.5887316,-1.5227847
6,0.03068377,-1.0677468,0.0,1.0,0.13537759,2.587641,1.5766344,1.0,2.0,1.1229826,0.5977184,-0.7017672,-0.67462015,0.28561178,-0.19929276,2.0260696,0.56448936,-0.20479736,1.1230532,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,2.51735,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,0.9555093,0.659546,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,0.1297069,-0.7261071,-0.37478644,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,-0.92242146,-0.17635377,0.13761915,0.20986775,-1.2654178,1.2960382,0.10031824,-0.5140954,-0.35661107,-0.27802417,-0.51209474,-0.18345718,-0.18125126,-0.35419396,-0.6169205,-0.2896264,-0.2292446,-0.542304,-0.27652445,-0.25773302,-0.6316375,-0.39783406,0.71440595,0.61409307,-1.7757968,-0.14404352,-0.510629,-1.4389913,-0.09728958,0.056560066,0.90714,-0.39036897,0.55027145,1.3051925,1.3753673,-0.08569548,1.307253,-0.9093537,1.1278554,0.33217183,0.18252626,-0.9077004,-0.76633227,-1.7218657,-1.3829772,-1.5315739,-1.3121582,-0.21572699,0.38883322,-1.4625744,-0.45174122,-0.24103531,-0.8407239,1.052094,-1.701098,-0.39347526,-0.0077226916,0.09108918,1.3642405,-0.0408229,-0.24446228,-0.17798835,0.34284484,0.8877617,0.011810789,0.119544804,-0.2544727,0.26519346,0.32683134,0.52586746,-0.87542325,0.95581627,-0.11258492,-0.4446588,1.1520226,-1.3294502,-0.07422239,-0.95133877,-1.2741506,-1.674644,-0.10730863,0.014672501,-1.4734172,-0.3012622,-1.5792782,0.8234718,-0.5243548,0.6349005,0.590728,0.19034956,-1.1885593,0.056460895,-1.6958377,1.2036113,0.6567321,0.7996145,-0.5988406,0.56831944,0.5611563,0.4673493,-1.4194849,-1.5348032,-0.045683067,-1.6178735,-1.1876112,-0.130331,-1.4044176,-0.6833525,-0.4574294,-0.53526056,-1.6858552,-1.1069036,-1.4758735,0.69030327,0.31130955,0.19750115
7,0.03068377,-1.0596315,1.0,1.0,-1.9414254,-0.54918903,-0.19515407,0.0,0.0,-1.0595392,0.25432336,0.5937287,-0.67462015,-0.98552155,-1.1847311,0.2571188,-1.27937,-0.20479736,-1.2538923,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.54743385,-0.15723181,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,-1.0139201,0.7814374,1.0709776,-0.16367154,-0.26601067,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,4.774783,-0.055067778,-0.064034365,-0.06380104,-0.044876654,1.3311905,-0.17635377,-0.50532967,-0.60526407,1.2028884,0.13984983,1.5385314,-0.5140954,-0.35661107,-0.27802417,1.0389596,0.8581682,1.5897775,-0.35419396,-0.6169205,-0.2896264,-0.2292446,1.0763683,-0.27652445,-0.25773302,1.5949248,-0.39783406,0.71440595,0.61409307,0.5695155,-0.14404352,-0.510629,-1.0882994,-1.0383095,0.64369756,0.25079268,-1.6609117,1.3258061,-0.63756466,-1.2620702,-1.4285412,0.26544937,0.21881399,-1.4110546,-0.7224552,-0.3435609,1.2714697,1.5433216,-0.19470714,0.70907044,-0.38651493,1.1209565,-1.1962072,0.6546484,-1.4328698,-0.5501652,-0.25651437,-1.4717407,1.3380785,0.8355843,-1.1570593,0.30747715,-0.7906606,-0.12312256,0.792625,-0.51792145,1.3233608,-0.35138205,1.3347232,-1.2989873,-1.421171,-0.12872377,-0.44728386,-0.15320495,1.20468,0.46593916,-1.3744516,0.3982057,-0.32306096,0.58436215,-1.0891294,-1.2573447,1.0217098,0.031073403,-1.0985109,-1.313617,-1.1633488,-0.025162699,-0.69028884,-0.5819036,-1.590703,-1.5580614,-0.109128475,0.16999798,-1.0696687,-0.5714671,-0.7256942,1.2219874,-1.7084922,0.81440157,-0.009547516,1.0862018,0.5790181,-1.0928966,-1.2822586,0.8872882,1.3826084,1.3604549,0.7624471,-0.19044557,-1.71022,-0.30019394,1.6669466,0.8927218,-0.031346384,0.81067854,1.6104939,1.0763577,-1.3334111,0.84547925,0.89907885
8,0.03068377,-0.27520153,1.0,0.66826636,0.85774386,-0.54918903,-0.19515407,1.6455973,1.1030228,-1.8390112,0.25432336,-1.1728567,0.4974273,0.26631194,0.08228061,-0.7201169,0.56448936,-0.20479736,1.1230532,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,0.59373933,-0.934551,-0.26181135,-0.16979556,-0.2747289,-0.05452974,-0.07108338,-0.10593647,-0.16972637,-0.046973784,-0.025545208,-0.16367154,-0.046378605,0.12668467,-1.9239688,-0.022417668,0.037628103,0.15298109,-0.118321665,0.22567616,-0.086177334,0.05513374,-0.13035232,0.22324029,0.023329044,-0.042661835,-0.034237105,0.07361276,0.043600455,7.100205,0.021524254,-0.031541444,-0.061408944,0.0053878766,9.0358975e-05,-0.02202764,0.0040942873,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,1.3311905,-0.17635377,-0.50532967,-0.60526407,-0.64295113,-1.0163385,-0.61878836,-0.5140954,-0.35661107,-0.27802417,1.0389596,0.8581682,1.5897775,-0.35419396,-0.6169205,-0.2896264,-0.2292446,-0.542304,-0.27652445,-0.25773302,1.5949248,-0.39783406,-1.413777,0.61409307,0.5695155,-0.14404352,-0.510629,-0.6290652,0.309494,-1.4759015,-0.6901451,-1.245346,1.3382018,0.60053337,1.7804734,1.3860114,-0.97135234,1.2637349,-1.2857963,-1.603828,-1.638438,0.4873917,1.370237,-0.7916304,-1.376013,-0.72123015,1.735703,-0.3613113,-0.5594298,-0.015415994,1.1554346,-0.18771413,-0.96037376,-1.400181,1.2395116,1.5602738,-0.9056818,1.4530157,0.9579146,-1.6429803,-1.648528,1.5988256,-1.2446215,-0.3816021,-1.0152116,0.11146103,0.025897983,-1.1594082,0.008568372,-0.87469065,-0.9194145,1.3034056,-0.3281054,-1.319558,1.5220045,-0.18752845,0.22499476,1.5462818,-0.70413435,-1.1584421,-1.1550968,-0.9735863,1.6315114,0.94484884,-0.15042096,-1.1958405,0.82264084,0.29327184,0.48662975,-0.5648477,-0.557879,1.6403027,0.33206,0.5816299,-0.58072233,1.1878881,0.5714289,-0.41025925,-0.36855254,-0.35958388,1.6870824,-0.8227042,0.83593684,-1.0907578,1.3776674,-0.28775337,0.046855878,0.4663182,-1.14699,-0.38642687,-0.59883475,1.3424361,-0.78608483,-0.5565938,0.7267443,0.52575916
9,0.03068377,-0.44417498,1.0,0.0,-1.3996507,-0.027741104,-0.058027167,0.0,0.0,2.0583491,2.3146937,2.5075295,0.4974273,-0.98552155,-1.1847311,0.65376616,0.56448936,-0.20479736,0.7834895,-0.32073393,-0.15205742,-0.05581561,-0.11209739,-0.14839539,-0.14488655,-0.01598692,-0.035744965,-0.031898268,-0.045211997,-0.08488958,-0.031799138,-0.07813027,-0.03191825,-0.08220191,-0.40124267,-0.1444599,-0.08446145,-0.28239504,-0.2766729,-0.15785053,-0.078245,-0.105966374,-0.4379412,-0.05494752,-0.26181135,-0.16979556,3.644854,-0.05452974,-0.07108338,-0.10593647,-1.0139201,0.7814374,-0.37478644,6.1203303,4.1567173,-0.09976216,0.010822516,-0.59604526,-0.1757366,-0.19823368,-0.06909993,-0.39109838,-0.21398686,-0.22437786,-0.14918695,-0.04267629,-0.046904325,-0.04618142,-0.032843847,-0.1388628,-0.058090433,-0.10502668,-0.111528225,-0.2775309,-0.07538831,-0.08999211,-0.15740049,-0.12986083,-0.22921585,-0.09562938,-0.10099005,-0.21051136,-0.055067778,-0.064034365,-0.06380104,-0.044876654,-0.92242146,6.9732704,2.797089,-0.22486922,0.21731116,-0.8236404,-1.337895,-0.5140954,-0.35661107,-0.27802417,0.15569474,0.029318314,-0.0016706807,-0.35419396,0.6242612,-0.2896264,-0.2292446,-0.542304,-0.27652445,-0.25773302,-0.6316375,-0.39783406,0.71440595,0.61409307,0.5695155,-0.14404352,-0.510629,-0.27037683,-0.016725382,0.3511876,1.3222626,-0.6514638,-0.8105188,0.56488055,-0.34155846,0.38351613,-0.5887719,-0.10998788,0.62782437,0.838519,0.6651923,1.6404346,-0.8505312,0.7832231,-0.9820415,0.37605605,0.8696126,0.11232594,-0.95947486,0.87868106,1.5932245,-1.0479338,-0.33147576,0.90316135,1.2620069,-0.09802134,0.49498057,-1.0904784,-1.2463628,0.17550316,1.627477,0.42675626,0.780504,1.3914995,-1.5810577,-0.941113,0.47554436,0.99460083,0.008567914,-1.6746,-1.323424,-1.6650224,-0.8988694,0.74048644,-0.82135904,1.2824503,-0.5997167,-1.5875132,-0.9021583,0.06830702,-0.6716358,0.48359755,-1.6754652,0.45177248,-0.5215989,-1.6402048,1.4068921,1.5979341,0.043138962,1.2288457,-0.13780262,1.3506033,-1.7284954,1.0582108,1.0766459,-0.603695,1.6331801,1.7495146,-0.57916147,-0.23610948,0.17306322,-0.32201087,-1.1472688,1.0069528,0.6791357,0.43543312,-1.4890463,0.30155015,-0.033997435,0.15146595,1.6200609,0.96484727,-1.2128124,0.8249063,-1.635389,-1.0476816
