,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.088222876,0.032601316,0.0,0.0,-0.5222118,2.7679033,-0.8898075,2.0,1.0,-1.5147325,-0.23686314,-0.24999034,0.29850447,0.6629663,-0.31720027,-0.681541,0.039493494,-1.0985904,-1.4591763,1.0869642,0.4330051,0.59943616,0.22681321,-1.5374336,-0.536358,1.5929136,-1.6197175,1.372394,1.4431064,-1.461825,0.4765727,0.14852808,0.34871814,-0.037340235,-0.74015576,-0.55916846,0.18773293,-0.38095132,0.912257,-0.33145562,-1.238481,-1.1695646,-1.5026563,0.74900776,-0.6166658,-0.9462506,1.1428877,0.2348294,-1.484267,0.1429755,-1.1691159,0.55720836,-1.4163764,-0.07239216,1.2912339,1.1014929,-1.5047462,1.6192813,0.5708119,0.70601195,0.8996975,1.3747574,-1.3119341,0.95436674,1.1463947,1.0657445,-1.8530438,-0.4488025,-0.24248096,0.0811433,-0.00055889244,-1.1512218,1.6067284,-1.6121106,0.3046802,0.22740485,1.6153051,-0.98653364,-1.436718,1.4980512,-1.6151218,1.1265237,0.92786807,1.1767844,1.4422826,-0.821321,-0.91083914,-0.74751914,0.84864527,-1.4379444,0.6037415,1.2980741,0.60732025,1.1015985,-0.4814188,-0.9609794,-0.6918579,0.7189821,-1.4784269,-0.17252709,0.04635592,0.44089213
1,-0.088222876,-0.8993398,1.0,0.0,0.2572088,-0.18689072,-0.5941904,0.0,0.0,0.21933673,-0.23686314,-0.24999034,-0.9717273,0.6629663,-0.31720027,-1.3445438,0.18704553,1.447416,0.11486513,0.3458278,1.5368484,1.2843684,-0.042187206,-1.3986818,1.295645,0.73544776,0.8275786,1.2340008,0.9635324,-0.25059628,-0.003451066,1.1429547,1.2609351,-0.66799855,-1.307927,0.23260695,-0.2070692,1.33104,-0.1026239,-0.022488782,-0.45261574,1.0531229,1.6931896,-1.2852803,0.69124633,-1.0666747,-0.6541358,1.5261136,-0.033890486,0.12726955,0.6680644,0.5948782,-1.7200952,1.461335,-1.1750942,1.0472621,0.58592224,-0.09313108,1.4971813,-0.8574095,1.1580458,0.6985026,-0.9645208,1.5696744,0.2444881,0.24870588,-1.3886838,-0.32193452,-0.96890736,0.3599326,-0.44853938,-1.0209197,-0.5647868,-1.0802972,1.0898087,0.9625615,-1.1763649,0.8367399,-1.533286,-0.82843316,0.6223733,0.8635133,-0.0040972424,-0.6113313,-0.46360543,1.2507659,0.07696467,1.3135512,1.6607621,1.5704391,-0.045723867,0.3857388,-1.0826805,1.6849294,1.686111,1.1960403,0.3108166,-1.469538,-0.5950786,-1.3419594,-0.8944137,-0.6527664
2,-0.088222876,0.18463871,1.0,1.0,1.0366294,-0.18689072,1.6229379,2.0,2.0,1.804016,-0.23686314,-0.24999034,1.5687362,0.6629663,-0.31720027,0.046348866,1.232073,-0.8684765,0.16568168,1.2810777,-1.2968414,-0.23256922,0.20209518,-1.0411013,-1.7646257,0.29197267,-1.7811408,0.4204403,-0.2554757,-0.8679397,-1.1356736,1.3681636,0.32326293,-1.1757665,0.75729465,-0.7694242,1.4514785,0.7298639,0.52848935,1.7104974,0.16771328,0.048502926,1.5149187,1.5913708,-1.6455327,1.2268119,0.2000365,1.4237102,0.8192343,1.6691381,0.8276819,-0.9004871,-1.3519858,1.5077747,-0.020250782,1.2871335,-1.5507798,-0.29285836,-0.9865456,1.2347578,0.71841013,-1.5216331,0.33241785,1.1718019,-1.7255313,0.34675062,1.3985362,-1.3181456,0.80168027,-1.2096714,1.1750021,-0.97433496,-0.41531187,-0.55966455,-0.35678566,1.6544073,-1.0554714,-0.41998583,0.9787122,-0.06769327,0.2914533,1.0184201,1.676934,0.9957118,-0.28528506,-0.5798776,-0.55297065,1.3309882,0.97503036,-1.4577477,0.072482646,0.6422795,-0.106901236,0.2113829,1.2483708,-0.55216855,-1.0696537,0.31886965,0.6298277,1.5878738,1.1593828,0.91872257
3,-0.088222876,0.41267613,0.0,0.0,-0.13250151,0.55180776,0.07094811,1.0,0.0,0.1224225,-0.23686314,-0.24999034,0.29850447,0.6629663,-0.31720027,1.5983461,-0.41276738,-0.73194385,0.7392951,0.31025052,-0.034549884,-0.8550029,0.4846931,0.61809343,-0.43450385,-0.929645,1.7985677,-0.6805457,-1.1395532,0.98830116,-0.123614214,1.5031481,-0.47039652,0.39825124,-1.6892421,1.109458,1.6060958,0.6086963,1.0791625,-1.4648882,1.0505483,-0.18606615,-1.0729908,1.3798225,0.69800836,-0.8879585,-0.7975498,-1.1020112,0.58256984,0.75018126,-1.4915158,1.6138166,-0.73338753,0.660889,0.9649079,1.3784344,0.8110835,0.5476568,-0.047555733,-0.54710025,1.6710253,0.39713892,1.1607618,1.3153697,-1.206207,-0.96643776,-1.8305329,-1.3216835,-1.3986624,1.4181552,1.6497614,0.13499086,-0.22675055,0.59997123,-1.3558024,0.6389628,-0.20484254,0.5248689,1.0757287,0.299903,-0.59387714,-0.45924622,-0.8762661,0.89377505,-0.4111941,0.7232342,-0.7268092,-0.8366388,-0.49667838,0.05281491,1.4806191,0.81426656,-0.874667,-1.4472744,-0.17694065,-0.7146517,1.1128473,-0.39185488,-1.0465893,1.2894281,1.1165273,-0.59509337
4,-0.088222876,0.36538976,0.0,0.0,1.4263397,0.18245853,0.8099909,0.0,0.0,-0.080222964,-0.23686314,4.0759125,-0.9717273,-0.5879135,-0.31720027,-0.70606995,0.3457758,0.82111114,0.77021044,1.4015259,0.20493072,-0.6455711,0.32681197,0.5065474,-1.5503553,-1.5319353,-0.33628196,-0.42928934,-0.4873815,0.01769119,-0.6950446,-1.0469869,-0.20661834,-1.1078908,0.65929914,-0.21022241,-0.49927866,0.29952422,-1.312226,0.49702954,-1.3341811,1.1593308,-0.004320554,-1.4786606,-0.10845278,0.07455736,-0.2513605,-1.2786237,1.6111833,-0.19723722,1.3454516,1.6395733,-0.30046418,1.6784493,-0.44804475,-0.30241087,-1.4066327,1.1210237,-0.65891105,0.2912875,0.35973692,-0.043719202,-1.6747661,-0.72309816,1.3967217,0.102300756,-1.4291631,-1.3176326,-0.35721767,-1.2761397,1.0635798,-0.106562875,-1.0599693,-1.100076,-1.6915606,0.64824605,0.7260738,0.90989244,1.6006196,0.084204435,1.6846267,-0.8258593,1.3468361,-1.4725603,-1.8663627,-1.482307,0.1483803,-0.7417594,1.0382218,-0.25268716,0.16795857,-0.15156461,-1.6672379,-0.6861503,-1.5157764,-1.3767548,1.3296008,0.8967864,0.9662775,1.166152,-0.6626254,-0.5003147
5,-0.088222876,0.7368939,0.0,0.0,1.0366294,0.55180776,0.4404695,0.0,0.0,1.6173617,-0.23686314,-0.24999034,-0.9717273,-1.8387934,-0.31720027,1.4792575,-1.7502952,-0.7151915,-0.7292377,0.46195808,0.9605543,-0.7942214,1.526618,-0.54813236,-0.04435324,-1.6005479,-0.67671895,-0.34570232,0.75109553,-0.5864775,1.0539672,-1.003444,-0.30659392,-0.93189335,0.09176606,1.6870418,1.6855011,1.5319138,-0.47567943,-0.010505058,0.055902172,0.3359794,-0.07625187,-0.9253207,0.5963662,-1.150531,0.35356405,-1.1540074,-1.4215486,0.7176397,-0.119259395,1.548192,-0.24817523,-1.4168406,-1.7802988,-0.36475247,-1.7017535,0.06547538,0.20937356,1.1780437,0.7228071,0.5591,1.5120364,-1.2092153,1.3931445,0.062985376,-1.8684982,-0.34552103,0.47564182,0.91331285,-1.3278043,1.7497442,-1.5555439,0.18436593,1.2870692,0.8569363,0.5979498,-1.5158315,1.3139294,-1.5816026,-1.623248,1.2017663,-0.7448193,0.06827572,0.24224402,0.6718172,0.2951305,-0.43192372,-0.8107044,1.0182644,-0.021978717,-1.3086808,0.56533146,-1.189994,-0.37025604,0.44970602,1.0637966,-0.07046787,0.17998649,0.57597876,1.0888765,-1.054453
6,-0.088222876,-0.13707384,0.0,1.0,0.2572088,0.18245853,-0.15076473,1.0,0.0,0.9711317,3.2741828,-0.24999034,1.5687362,-1.8387934,-0.31720027,-0.80943763,-0.885483,0.08871007,1.1949068,-0.9595981,0.44561544,-1.1611594,-0.9963403,0.57640827,-1.255313,-1.5154147,0.25501832,-0.37874234,1.3220176,-0.37339357,-1.0315994,-0.0718484,1.7454492,-1.733506,-1.4689485,1.4898556,-0.6534174,-0.8444607,0.12653229,0.050739687,-0.006150533,-0.22929282,0.42821515,-0.13305645,0.540469,-0.8443091,-1.2580394,0.7993855,0.16905437,0.37784678,0.3371871,0.80181146,1.29449,-1.3614802,-0.3190386,-0.05297841,0.54184824,0.3582574,-0.460323,-0.6600966,-1.7087694,-0.5149947,-1.6946979,0.7999126,-1.2850742,-0.902519,0.09844926,1.640405,0.02248436,0.5723567,-0.88127065,1.1046169,1.3285478,0.3893055,1.1919324,-1.361501,1.3019058,-0.79415977,-0.7604228,-0.2815989,1.4607393,-0.34567192,-1.5492318,-1.611392,-0.27855742,-0.5682633,1.5587479,0.5782855,-1.3101169,0.33971617,0.034530334,0.6937735,-0.72285175,0.19702208,-1.521146,0.47740674,1.536074,0.2384604,1.0589589,-0.52953047,-1.4740905,1.1393677
7,-0.088222876,-0.24658698,0.0,0.0,-0.5222118,-0.18689072,0.58827806,0.0,1.0,-0.10875345,2.7377844,-0.24999034,-0.9717273,0.6629663,-0.31720027,-1.513435,1.1141095,-1.4762169,-1.2330335,1.5514191,-0.1132846,0.020006489,1.1449428,0.6284702,1.0294977,1.0508406,0.47738758,0.045805123,0.12574092,-0.33528423,0.1921692,-1.0292348,1.5958508,-0.8203365,-0.7600623,1.1952829,-0.56265366,-0.5861953,-1.6581261,1.4277506,-0.70033514,-0.11219297,-0.05581747,0.85076314,-1.4026263,1.0266671,-0.30618423,0.7967829,0.3158311,1.5543188,-1.531777,0.2915968,-0.097666,0.92370033,1.2004297,1.00761,-1.4711094,-0.37551692,0.039002433,-0.7637661,-0.27364558,-1.235845,0.8140936,0.645453,-0.5527607,1.5552301,0.7432203,1.1007318,-0.6401034,-1.7128034,-0.41257992,0.8290409,-0.7275057,1.1569003,-0.50079167,0.9364516,0.6389831,-0.8072801,0.6755485,0.8967074,1.7176597,1.3584104,1.086399,-0.96027035,0.25804907,0.81279516,1.5606471,0.7086771,0.9414297,0.4857221,-0.513754,1.1165606,0.18278073,-0.37681812,-0.20612676,-0.9965334,0.64748156,-0.55933183,-0.5017683,-0.9967451,0.949654,0.92212826
8,-0.088222876,-0.02320022,0.0,1.0,-0.5222118,-0.18689072,0.8099909,2.0,0.0,-1.5067265,-0.23686314,-0.24999034,-0.9717273,-1.8387934,-0.31720027,-0.37100303,-0.45161784,1.0980948,1.5768429,0.85353464,0.33137658,1.0089725,1.0345094,0.49168065,-0.2613262,0.59387803,-0.6093827,-1.0168259,-0.85146683,-1.4430895,-0.13996162,1.1997814,0.043416303,0.72778755,1.2902089,1.8884759,1.0532644,1.3747245,1.4717857,1.6186447,-0.41898784,-0.16727014,0.33837005,-0.13436586,1.6962973,1.2457585,-1.6711829,-0.1759672,0.12250838,0.5354212,1.5403514,0.03428504,-1.0162266,1.0435597,-1.5051744,-1.0991671,0.67828405,1.1216067,-1.1298301,-1.1700277,-1.809675,0.097741134,0.13222753,0.6619604,-0.39128533,-1.6489751,-0.12052155,1.6968018,-0.096906595,-0.7021085,0.26783386,1.2608922,0.25819445,1.1670845,-0.31444117,-1.4372953,0.21148728,-0.3440682,0.924875,1.8447446,1.8060553,1.5109009,-0.5510073,1.0274354,1.042481,0.038909897,0.9622002,-0.28090963,-1.1497061,-1.3311977,-0.5912568,-0.18186203,-1.6703916,-0.19126026,0.3600046,0.80189055,-0.47846577,0.09536958,0.27391118,0.36236584,0.4709637,-0.061421886
9,-0.088222876,-0.27968624,0.0,0.0,1.0366294,-0.18689072,2.2141721,0.0,1.0,0.24851187,-0.23686314,2.611201,-0.9717273,0.6629663,-0.31720027,1.2275107,-1.3947605,0.090019315,0.1995263,-1.4189472,-1.3118428,-0.9659325,-1.5662901,1.5220286,0.4802465,-0.5640495,0.6968549,-0.1749969,0.85824233,-0.21952961,1.2584548,1.0992254,-0.1917288,0.07278561,-1.0575945,-0.520978,0.18698922,1.1102775,1.6314,-0.047313012,-1.5125494,1.7228496,0.67400944,-1.4042921,-0.43029532,-0.7651141,-0.40270114,0.9383408,0.25401703,-0.6779307,-0.8912112,0.06231539,0.06730614,-1.5766405,0.010855236,-0.52073145,-1.6346954,-1.3529148,0.060299493,-0.64887613,1.6606131,-0.9148722,1.2294376,0.27369583,0.96801466,0.32087564,1.1273755,0.98160017,1.6797682,1.3992268,-1.6221533,0.60684204,1.088125,0.9926177,0.49482238,0.9273274,1.4386226,-1.5733737,1.7337441,-1.4017557,1.8354086,-1.0087689,0.17648052,1.5958166,0.16508125,-1.0106736,-0.27912107,0.17183587,-0.6317298,-1.6157142,-0.1689894,1.3207346,1.1931307,-0.7368053,0.031694565,0.054884978,-0.01214991,-1.7421932,0.06328248,-0.16593203,-0.22334187,0.20715962
