,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.89717466,0.76504195,0.0,1.0,1.1858004,-0.16451018,0.6359317,0.0,4.0,1.7378389,0.9023275,-0.12812251,-0.33333334,1.0834727,0.4418361,1.153387,-1.2418021,-1.2977829,-0.36154503,-0.6579612,0.0703618,-0.56696767,-0.5934502,-1.4909786,-0.8905176,1.4312294,-0.787312,0.1603108,1.2014164,1.2567382,-0.9260793,-1.0538667,-1.6826389,-1.5248507,-1.031742,1.5770946,-0.4893769,0.75923544,-0.4049413,0.1017512,1.6656073,-1.7815562,-0.2411146,-1.0522268,-0.2100905,-0.61483234,0.17259283,0.42102066,-0.62137216,0.47371715,0.47739503,-0.26657337,-0.57572305,-0.5067117,-0.44491395,-1.3280867,-1.2532651,-1.2396648,0.86280304,-1.4522548,-0.083542466,-1.1796935,-1.5111774,0.1538124,-0.07093912,1.5326525,-0.6037487,-1.0589744,0.5682122,-0.7326781,1.0189638,1.1397611,-0.11845518,-1.1581275,-1.354325,-0.5645596,-1.5989325,0.7257436,-0.36951914,-0.30432135,0.783193,-0.3571405,0.27887654,1.1530781,-0.2279866,1.6668215,-1.26517,-1.4226211,-1.5613592,1.4655544,0.7045013,-1.0743268,0.13147339,1.3104436,1.4154049,-1.3531682,-0.5909096,-0.76108915,0.2413225,0.86253256,-0.29653978,0.46236655,0.18251938,1.4657524,-1.2429899,-1.8811811,-1.3684105,-0.25048855,-0.0867589,0.4065203,1.2573999,-0.9300147,-0.27182686,1.5353439,-0.31917,-1.6211866,1.5317304,0.10311504,1.6097631,0.42905417,1.597457,0.269894,-0.9910785,0.5835066,0.1373246,-1.8086215,0.6947352,-1.314798,-0.023917014,0.52525324,0.9267315,1.5445808,-1.5321412,-0.9603208,-0.42187724,-0.22023447,0.57969695,1.5106851,0.5104131,0.433481,-1.3309906,-0.30967036,-1.1001624,-1.0307901,1.1878514,-0.5875419,-1.0453985,1.1556736,-0.2889305,0.5491619,-0.62035096,0.5376274,-0.7071891,0.064512245,0.20198111,-1.2783629,-0.94043267,0.7629759,-0.36943045,0.6053561,1.0029781,-1.6053293,-0.9082491,0.3947307,0.10169491,1.060311,0.8841304,0.94897074,-1.1743313,1.4946682,1.116993,-1.332334,-0.58538115,-1.7714281,0.40273795,0.89569426,1.692323,1.4066045,-1.3727672,-1.2290112,1.2049098,0.9846217,-1.3129091,-0.13067095,-0.1263554,-1.0135536,-1.4019905,-1.0118145,1.6870275,1.010697,-0.20885064,1.3209052,-1.2802151,0.88802934,1.537221,-1.6282947,0.27555034,0.8303335,-1.0461301,-0.14558183,-0.946017,1.1707319
1,0.5019157,0.64545244,1.0,0.0,-0.9129614,0.16451018,1.0715014,1.0,1.0,1.1279852,0.41116947,1.0442402,3.0,1.0834727,0.4418361,1.4792049,-0.9017198,-1.0271128,-1.0517598,-0.17580184,-0.10177753,-1.1466646,0.9528618,-0.58566254,-1.1788625,0.33805355,-0.6248903,0.88969076,0.839867,0.33062625,-0.70951355,0.9874065,-1.8222524,1.6607597,-1.0011473,1.0562197,-0.07678507,1.2056991,-0.35805845,0.047805406,-0.8476075,-1.1735913,0.36194748,-0.085638255,1.2567885,0.30926767,0.7149633,-1.281692,-0.9712725,-0.1869579,-1.7035378,0.64850056,-0.5164774,-1.782852,0.521403,-0.32096076,-0.6866319,0.20390128,-0.9834678,1.5987782,-1.7318099,0.8485867,1.638126,1.0563117,0.20251441,-0.7209326,0.82913494,1.165645,-0.81973875,-1.046619,-0.82789546,1.3661966,1.5407684,-1.5719491,1.450276,-0.06324564,-0.81156725,0.8308029,1.2557814,-1.2179168,-1.5449806,-1.4841098,0.98320395,-0.54488665,0.51646274,-0.8101389,0.99312973,-0.4213694,-1.3934853,0.1373163,-1.1116819,-0.3018788,-0.41291705,1.334892,1.6027367,-0.7145883,-0.7802714,1.0404805,0.66136307,-0.5378765,0.8912286,1.5626854,1.3319423,-1.3457131,1.5375551,1.172086,-0.39137256,1.5852942,-0.18157439,1.0340097,1.0913754,-1.1412201,-0.5767904,-1.2793607,-1.507982,0.5563823,0.37126198,1.2477674,-1.1286851,1.5095507,0.01714189,0.5607936,-1.3233837,1.5265838,-1.0915357,-0.7829105,0.68574196,1.1140044,1.5753216,0.6733316,-0.39998153,-1.7448181,1.3480502,1.2766494,-1.5220915,-0.81647414,1.1626672,-1.1244266,-1.0765646,1.415983,-0.2676839,-0.726641,-0.75847673,-1.551191,-0.07902856,-1.7970232,0.74229544,-0.44160202,-0.00113348,1.1269141,-0.067673594,1.5450816,1.4154681,0.041607853,0.5523174,1.0434947,-0.71231014,-0.22271864,1.1720849,-1.4467636,0.05434164,-0.9418023,-0.5753154,-0.85350746,0.5227473,1.190654,1.1626654,-1.4211212,1.5763992,0.8963763,0.8010694,0.84638464,-0.8622435,-0.87618774,-0.06473709,-1.7173566,-0.041964363,0.36453122,-1.0949923,-1.7051957,1.1878811,0.25970373,-0.8928742,1.1587735,-0.08987837,-0.109971955,-1.2436581,-1.0514313,-0.4202114,0.56753707,-0.9058186,-0.10978484,1.3855268,1.5302864,-0.77320904,0.9065224,1.5083761,0.0487325,0.42842573,-0.029508194,-0.93001556,-0.0032289329
2,-1.0957669,-1.161725,1.0,0.0,-0.9129614,-0.9870611,-1.2152393,0.0,3.0,-0.01853955,0.5515003,1.2954609,-0.33333334,1.0834727,-1.1361499,0.91094416,1.0993838,-0.6036554,1.0437002,-0.34282455,-1.6496766,1.2541603,1.7724423,-1.5568583,1.449196,-0.46639726,1.3582051,-0.06660487,0.8388942,-0.96259254,0.82609344,0.14535463,-0.69365853,-1.082503,1.3926362,0.42935988,0.8637224,0.45839375,-1.2839136,1.7322688,-0.19900048,-0.8199665,-0.7771814,1.1240219,-0.82263607,0.05516876,-1.4996641,-1.5783315,-1.7240961,-0.37185627,0.9654031,-1.2506049,0.9303439,-1.2133133,-0.9680681,1.2693317,-1.3903892,-1.4873687,1.4375958,-0.40463012,0.9354833,-1.5835263,0.76336396,0.6380724,-1.5252773,-0.8118013,-0.801741,0.9447158,1.4022884,1.3828,-1.6886388,-1.2641832,-1.5109037,0.7904751,0.5078052,-1.699356,0.37957358,0.03870177,-0.87325364,0.38906074,1.4676733,-1.6417364,-1.576231,-1.0385681,0.8385221,-0.34315354,0.04361178,1.3456924,-0.8088023,-0.67326266,-0.12141744,0.8641438,1.1878006,0.604878,0.35456216,1.631234,0.65812683,-1.2014908,-1.400419,0.27914578,-0.84423596,-1.1065962,-0.68491584,-0.5260943,1.1388245,-1.6206187,1.4100758,0.7586136,-1.1056507,-0.27269265,-1.371072,-0.45413843,1.3034343,1.201601,-1.1092404,-0.21115142,0.37641564,0.058974296,0.46803415,1.2098885,1.0112826,0.2659463,-0.8368663,-1.3894674,1.4757025,0.33848205,1.0004389,-0.26275665,-0.9517454,-0.51644164,-0.63970345,0.6313758,-1.0991292,-0.085356206,1.1056902,-0.46375227,1.4142804,0.8497534,-0.2843616,-0.006125274,0.4530495,-1.0234965,-1.2522346,-0.12691906,-0.28613713,1.0203056,-1.5019637,1.1044679,1.0112149,-1.177323,-1.7801092,-0.021732565,-0.28019583,-0.14174987,-0.6662295,-0.49220788,-0.9496962,1.1972245,-1.8319017,-1.3642892,-0.22000813,-1.7678251,-1.8082297,-0.73039484,0.15808184,0.3891994,-1.3638388,0.18077835,-0.8621677,1.4399706,-1.4826231,-0.8674694,-0.5014462,1.1943936,-1.476959,-1.7268314,-0.21830644,-0.101687446,0.844545,-0.44827008,0.46176848,1.4366782,1.3077568,0.029576229,1.1677997,-0.95453656,1.525588,0.39623788,0.35038337,-1.0876538,-0.76884377,-1.6604413,-1.1177381,-1.5185671,-1.2994435,-0.21734759,0.3231197,-1.4906095,-0.47557908,-0.22669467,-0.867151,1.0911714
3,-2.201966,-2.4142516,1.0,0.0,-0.9129614,-0.9870611,-2.8486254,0.0,2.0,-0.77475804,-0.15015404,2.216603,-0.33333334,1.0834727,-1.1361499,-1.5238754,-0.44483358,0.19094497,0.18589817,1.509506,-0.047975056,-0.14390847,-0.06459297,0.25344256,0.6938863,-0.011574053,0.12573051,-0.85902506,0.1090367,0.5102707,0.6831319,-0.7441666,0.89718455,0.03351921,-0.44338164,0.9885949,-1.4461681,-0.29912037,-1.2469217,-1.222532,-1.5214759,-0.36142713,-0.054251287,-1.2350794,-0.70274556,-1.5455939,0.7748693,-0.7161719,0.45682597,0.6553009,0.18806797,-1.1421546,-0.19859688,-1.7916375,1.1179277,0.8735746,1.0055553,-0.38055542,0.73987967,0.70326006,0.34629,-1.3667058,-1.3723481,-0.38438544,-1.415043,-1.7141229,-0.13395397,-1.4592911,-0.6555272,-0.6837934,-0.456593,-1.3720102,-1.0117217,-1.8770739,0.6809734,0.31576416,0.01978355,-1.0401901,-1.2775515,0.23659204,0.26837745,-1.5690806,1.306009,-0.47654817,-1.4471934,-1.0479938,0.1160781,0.12467854,-1.3687233,-1.1172458,-0.20423894,1.3437619,1.7503998,-0.23199421,0.79100066,-0.47919425,1.2482487,-1.2061579,0.64593774,-1.2809132,-0.26499075,-0.14505938,-1.4389569,1.3230541,0.68757695,-1.3775891,0.16794625,-0.8528744,-0.2509241,0.9599032,-0.44683385,1.2848537,-0.32324675,1.3723933,-1.2832552,-1.3621467,-0.0939161,-0.71339107,-0.3490566,1.163239,0.5697596,-1.4673786,0.61142147,-0.31927451,0.5773583,-1.1320913,-1.394378,0.835913,-0.032543194,-1.1832888,-1.5387439,-1.1052095,-0.19507518,-0.6473309,-0.57272553,-1.5465091,-1.5300717,-0.40766916,0.3299896,-1.1881347,-0.5155657,-0.8099677,1.3599784,-1.7374833,0.85329384,-0.14866307,1.1045189,0.5122141,-1.2160186,-1.2690384,0.6928453,1.1929816,1.3744497,0.68583006,-0.24400386,-1.5977274,0.009822522,1.5534538,0.69304425,0.13977936,0.7635332,1.5493563,0.8286079,-1.234178,1.0311486,0.9630597,-0.8116534,0.25565732,-1.3665766,-0.61446023,-1.5876117,1.2320509,0.7474557,1.2824557,1.5251443,-1.2233962,1.3102925,-1.4112289,-1.468197,-1.8241196,0.3603111,1.447997,-0.9064389,-1.3906263,-0.94692177,1.652763,-0.18433265,-0.7052566,0.15080565,1.027568,-0.1774255,-0.8166371,-1.1548312,1.1797397,1.4787397,-0.9178242,1.3914601,0.8913677,-1.5863426,-1.6835715,1.5979578,-1.1235533
4,0.97511524,1.0747743,1.0,0.0,1.1858004,0.49353054,0.7448241,3.0,3.0,-0.11611613,-0.15015404,-0.12812251,-0.33333334,-0.9229582,0.4418361,-0.3251973,-1.1283281,0.33979923,0.18354374,-1.0614492,-0.035563152,-0.81843245,-0.8328836,1.1848621,-0.4292638,-1.3191223,1.4440461,-0.8284598,0.02943258,1.7230408,-0.584031,-1.0876352,-1.279617,-0.78909844,1.6156883,0.8396445,-0.22032845,-1.4444494,0.46796322,0.33192804,0.6586648,-0.84165674,-0.7679763,1.4804875,0.021085722,0.71104753,-0.46889937,1.067375,0.44955042,-0.30177954,-0.37476552,-0.34629965,1.4585091,-0.92126405,0.80617046,-0.92404723,1.5782619,-0.09288761,0.24624537,0.6180397,-1.2250304,-0.28243554,-0.32541937,1.1032084,-0.6534751,-1.010896,0.75815374,0.62336755,-0.3156335,-0.2330557,0.38168335,1.3904854,-0.5346328,-1.0867803,0.6138849,-0.4924337,0.20787498,-0.56689364,-0.34026384,0.20564328,1.0533413,0.47791114,1.6078411,-0.74846417,0.8245353,-0.6517053,0.21369109,0.74209166,0.2550711,-1.5129694,1.158138,1.620274,-1.340891,-0.33110887,0.97298294,1.2024285,-0.028803198,0.2837859,-1.1527915,-1.1595688,0.5104926,1.6732367,0.6018877,0.87004125,1.246247,-1.7381115,-0.8988658,0.63086987,0.9960482,0.16379939,-1.5092635,-1.1734929,-1.6529158,-0.6849512,1.0714611,-0.68529123,1.4257908,-0.89109844,-1.9846295,-0.8714767,0.11649335,-0.7690195,0.7451797,-1.5945032,0.4616412,-0.46132463,-1.723443,1.2396864,1.4224468,0.036456157,1.2844551,-0.17821579,1.1597642,-1.6553156,1.2175066,1.3207102,-0.47922793,1.4397155,1.879299,-0.7210982,-0.13241953,0.029056264,-0.13359907,-1.1552727,1.0338571,0.5562594,0.40440723,-1.4392445,0.16514379,-0.09180627,0.0069491607,1.459576,0.85564893,-1.3264934,0.6645173,-1.5052826,-0.7678523,-0.08365132,-0.82343465,-1.6003999,-1.2086086,1.1354978,-1.0649536,-1.4500036,-0.1785003,-0.29141623,0.67219746,-0.6169259,-0.48996502,-0.33291537,-0.74975604,-1.167745,1.1015643,0.37464243,1.6570431,-0.4070634,-0.9038023,-1.6911511,-0.7019414,-0.8133069,-1.1206795,0.5756968,0.2822593,-0.31358233,-0.027605461,0.7317257,1.3043289,1.8128091,-0.5509805,-0.56750757,0.94660336,-0.21949469,-0.30569774,1.3494256,-1.1682526,0.66054696,0.47640857,-0.7297143,0.89875233,1.2552522,0.59202725,1.0710044
5,-0.21074675,-0.9568522,1.0,0.0,-0.9129614,-0.9870611,0.09146962,0.0,2.0,0.10343117,-0.85180837,0.83488977,-0.33333334,-0.9229582,2.0198221,-0.6941981,-0.49233136,-1.3674942,0.9779192,-0.6521567,0.5468096,-1.1206663,-0.7217298,-0.74895304,0.99125683,-0.7062852,0.19868957,-2.382549,1.2186263,0.94237053,1.059572,1.7018793,0.84002876,-0.1234254,-0.28217635,-0.37336922,1.6190007,-1.6247166,0.657678,1.4702231,1.6818694,1.6116871,1.029689,-0.70233464,-1.0105965,-0.6748934,0.6537578,-1.9382241,-0.8667614,0.53294194,1.2791291,1.353494,-0.30423602,1.3018852,-0.91484135,1.6727805,-1.4344563,-0.68560946,1.445523,0.7257589,-0.5079846,-0.34945214,-0.22538613,1.1189777,1.3126433,1.1729646,0.62103254,-0.5884375,0.4474646,-1.5641686,0.7486465,-1.1640368,-0.2619769,-0.7210097,-0.52349967,0.512971,0.19347708,0.25496396,1.3503311,1.1774712,-1.5970256,1.0433539,1.5094618,1.0850757,0.2944883,-1.2156851,-1.9830202,0.7917382,-0.7154051,1.1769835,-0.8272005,0.8632912,0.78932726,-0.39467388,-0.48853227,1.0218673,0.6682207,-1.4024756,0.8480029,1.0948697,-0.3751167,1.2727425,-0.848783,1.5057588,1.1198784,1.3666523,0.2241926,0.64917636,0.15283753,-1.3345221,0.45093745,1.3946875,1.5169314,-0.047241893,-1.6851226,-0.39639187,-0.38210088,0.39887756,-0.03248178,1.5413414,1.6305641,-0.91445655,-1.282597,-0.6203787,1.1479084,0.75259066,0.14619528,-1.5965892,-0.9506007,1.2478415,-0.30267617,-1.426566,-0.55439633,0.40908635,-1.2050236,-0.56514186,-1.0527767,-0.2851049,-0.55636024,-0.0857747,-0.23133205,0.89419705,-0.40315533,0.7222288,1.4357241,1.3817124,0.20605451,-1.4781805,1.0096551,1.1973816,-1.777589,0.27253306,-0.6760421,1.0236943,-1.0719182,-1.0842499,1.0543358,-0.30662355,1.5016799,0.24898194,-0.75520384,-0.80858576,1.4434642,1.1629326,-0.97046524,-0.3844687,0.92739356,1.089825,-0.60809904,0.45318696,0.96295184,-1.4123648,0.19952293,0.21729837,1.417098,0.62760407,0.1802043,1.4580066,1.2878993,-0.26726434,-0.27722126,0.11740311,-0.55034757,-0.5510893,1.0223119,-0.76329786,-1.156079,-0.66831493,0.4083057,0.41804266,-0.8481554,1.2969148,0.90987587,0.5115525,-0.43308285,-0.6890683,0.3499559,-0.9203293,-0.9677429,-0.9795583,0.18915646,-0.89462274
6,-0.30516058,-0.7687726,0.0,0.0,-0.9129614,0.32902035,-0.12631519,0.0,3.0,-0.5308166,-1.5534627,0.3743187,-0.33333334,-0.9229582,0.4418361,1.5192232,0.108862534,0.48833728,0.98241967,-0.86670876,1.1391703,-0.66609836,-1.1763834,0.98036903,-0.68517673,-1.5926769,0.26389632,1.0588964,1.1427407,0.42936215,-0.649189,0.4500744,-1.0250155,-0.93415403,0.42478788,-0.30467272,-1.2179807,-1.9063612,1.2016124,-0.81708723,0.8541646,1.5347561,1.0420276,1.5135081,1.6046742,-0.74659073,-0.921607,0.90452594,0.31992185,0.50563586,0.37293658,-0.47205737,-0.9286841,0.86998755,0.46062493,-0.9865742,1.8707627,-0.742586,-1.2844249,1.4800593,1.4259648,-1.0803417,0.59259933,-0.8828763,-0.15719523,-0.4328492,1.4733677,1.5987151,1.3698035,1.2854143,-1.3241783,0.67172676,1.5944115,0.13439332,-1.3245622,0.2700861,0.12486849,0.6576618,1.3981917,1.2007724,0.7107757,1.2883358,-0.36309898,1.0593251,-0.641448,1.6891118,0.38372743,-0.5130373,-0.60942197,0.4272244,0.24486181,-0.31352508,-1.0428939,-1.1968882,-1.3916732,-1.4003488,-0.031844,-1.3148664,0.99855256,1.625818,1.3595695,0.8552059,1.8142147,-1.3025596,0.80353385,0.042717736,-0.94076717,0.65536237,-0.76934624,1.337061,-0.78622955,0.6740322,0.6657343,1.548074,-0.88322574,-0.6775105,-0.6558933,-1.7939323,0.35261264,1.3157464,1.1273764,0.69190294,0.18949346,-0.11231045,-0.35998416,-0.79055184,0.57088697,-0.82798266,0.5169624,0.5310505,0.17550671,0.67111456,1.4981288,1.1744711,-0.2175141,0.29320416,-1.0268137,1.5057437,-1.4764246,0.6670731,-0.29800716,-1.425319,1.2240674,1.5916138,1.2776655,1.2006662,1.4036423,0.7479015,1.2802103,0.15464605,-0.7261888,0.53191847,0.6128979,0.9615354,0.84248716,0.61481744,0.412482,1.4404781,-0.24032383,0.8059938,-0.19446677,0.34822837,1.0894186,-0.38563442,-0.16661154,-0.16145925,1.2990819,-0.49337116,0.7724401,0.77186006,-1.4805857,-0.7538662,-1.6723788,-0.8359023,-0.58401465,0.46690527,0.79646844,-0.7323624,0.73087734,1.4022104,-1.019261,-1.0505319,1.6881672,-1.502343,-0.30195266,1.4892999,0.90888995,1.3176618,-0.0019365414,0.4250405,0.7033898,-1.658934,0.9379888,-1.1024029,0.8507596,0.07685162,-0.14376988,1.2411467,0.11466181,0.5800192,0.27445796,1.6382453
7,1.4134082,0.9532214,1.0,0.0,1.1858004,-0.16451018,1.3981786,1.0,3.0,1.0060146,-0.9921393,0.081227995,-0.33333334,-0.9229582,-1.1361499,1.5631559,0.28368363,1.7278025,-0.9161481,-0.027911652,-1.8050382,1.1450386,-0.018860258,-1.7061863,0.36083192,-0.8272177,1.1953977,0.5461381,-0.4440641,-1.2505825,0.2690107,1.8460842,-0.5899127,1.1411161,0.946041,-0.90338546,0.72381806,0.64833736,0.8720491,1.7192413,1.7090688,0.14353529,1.7808746,-0.633082,0.29174313,0.8983246,0.08784411,-1.382538,-0.812422,1.1741964,0.71205896,-1.4168676,-0.6949166,1.0815997,-0.1380991,1.6026872,-0.07857291,-0.29639468,0.44789028,-0.44840917,0.19981569,-0.115783736,-0.70419854,0.8673856,1.4610683,-0.43251047,-0.41655272,0.7161789,-0.77437145,1.447259,1.6619129,-0.3564031,-0.28943047,1.177648,0.9886787,-0.7275828,-0.1523947,-0.05861239,0.5949704,0.466302,-0.73187107,-0.61203015,-1.3201667,1.2956241,-1.8968896,-0.35227507,-2.0594058,-0.20920604,-0.3254998,-1.6929526,-0.9764631,0.5483041,-1.9837894,-0.8231561,-0.8752885,-1.709276,0.007454413,-1.4599473,1.34379,-1.5862406,-0.047877695,-1.3550714,-0.517456,1.2588062,0.6139132,0.08245402,-0.93983346,1.6520541,1.6915019,-1.323258,0.12763153,0.04556073,-0.66783065,-1.350323,0.4675212,-0.38762853,-0.2986605,-1.1975855,0.76494604,1.6169001,0.652135,1.6594428,1.5028976,-1.5041393,1.1405127,-0.6135142,0.90291154,0.37151545,0.7388044,0.04996146,-0.7165959,0.49157777,-0.6909918,-0.9512422,-0.7350713,1.8933883,1.2660127,0.19549301,0.8960569,-1.2616544,-1.3886691,1.28243,1.3118427,-1.632271,0.6025397,0.1291893,0.73025626,-0.28703362,1.1435201,-1.5497698,1.2014804,0.90389484,-1.0470464,-1.5971403,-1.3297067,1.5612581,0.8663499,-0.09577764,-0.38090482,-0.13709256,0.8223066,-0.7675227,0.18373036,-0.18931936,1.6697941,-1.0790362,0.5807591,0.11207136,-0.034780424,1.0620071,-0.66949725,-1.6011064,1.4702308,-0.27633598,-0.6544001,1.2073174,0.03724595,-0.90858185,-0.050767124,0.4366223,-1.3438944,0.30396384,0.057025816,-0.51600903,-1.5254117,1.1157954,0.85605156,-0.69606584,-1.0831034,0.24467103,-0.92117834,1.724569,1.0487599,0.9983872,-0.8254157,0.5253321,-1.2172333,1.0910169,-1.6670169,-1.4808279,0.87576413,0.38976708
8,0.5822504,0.4531461,1.0,0.0,1.1858004,-0.7402958,0.20036204,0.0,2.0,0.61570823,-0.57114667,-0.337473,-0.33333334,-0.9229582,-1.1361499,0.10570281,-0.92135394,-0.27407825,-0.84580255,-0.59121716,1.735911,-0.062617056,1.2214705,1.1118128,-0.8908496,-1.170532,-0.9260805,-1.4010229,-0.72787666,-1.2598028,-0.053796217,0.18585278,-1.3568487,-1.5100416,-1.0903268,0.2682902,-0.15819813,1.3978908,0.8773117,0.10850694,-0.7134762,-0.67078114,1.5496721,-0.50327665,1.0216818,-0.14456677,-0.0313656,-0.14786582,1.3392819,-1.4179195,-0.12022281,0.52081305,1.0988003,-0.2205238,1.2419611,0.056775007,1.0965682,0.51123846,0.4646824,-0.7012134,-1.2743884,1.664359,0.024664959,-0.4739172,1.4420352,1.2587919,-0.77154326,-0.42512196,-0.8406648,0.80042845,-1.3534263,0.23576443,1.3341848,1.3265457,-0.0947875,0.9860337,-0.7659396,-1.5724647,-0.8910909,-1.876555,1.1571814,0.7593253,-1.7817092,0.3495878,-1.7344434,-0.0019572861,0.84029806,-0.015240824,1.1195412,-0.20684837,-1.668769,1.3698211,-1.0806257,1.4916707,-0.36252764,-0.0027599055,1.8453531,-1.5541387,-0.9487449,0.31863672,-0.4702808,0.13550127,0.0050031603,0.7907885,0.89772,0.08323112,1.2946076,-0.48387462,1.0602778,0.21607687,-0.9708089,1.4881419,-0.42866644,1.0641196,-0.44187766,-0.1836004,0.6953871,0.34314135,0.28043222,-0.46318617,-0.4305999,-1.7631601,-0.5708462,-1.1283381,1.8112226,0.18087824,1.1453235,0.30380788,1.5771886,-1.1591624,-0.93728876,-0.5145406,0.8337132,-1.1193408,0.03787906,0.92253673,-0.13229907,-0.78655756,1.7473388,-1.0800964,-1.1912324,1.4548045,0.7599283,1.1214167,-0.68309087,1.2948982,-0.22967578,0.85778534,-0.99031967,-0.34790206,-0.5810804,-1.383495,0.2805087,-0.38922808,-0.7534245,-1.4024254,1.1656646,0.7408575,-1.1038039,-0.2700312,0.75721383,-1.3616918,1.4415137,-1.2826436,-0.79627675,-0.54191154,0.33149198,-1.2196349,-1.4310611,-1.1449612,0.19430621,-1.4551969,0.90199417,-0.8297582,-0.43228266,0.56541103,-1.667518,0.2507199,1.1838267,0.83949065,-0.21241865,1.0035287,0.16477722,1.7984896,0.7272423,1.4101404,1.1837611,-0.41050243,-0.8510521,0.44220644,1.6160235,0.4452951,0.34660816,-1.5676717,-0.36842635,0.31769657,-0.65344054,1.4578182,-1.4358932,0.56246066,-1.6620977,0.22389856
9,-0.64654565,-0.84696823,1.0,1.0,1.1858004,0.16451018,-1.6508089,0.0,1.0,-0.89672875,0.5515003,1.2117207,-0.33333334,-0.9229582,-1.1361499,-1.2205459,1.3813943,1.3747487,1.8894956,-0.83475316,-0.8030619,0.22434346,-1.3507512,-1.43131,-1.6154021,0.4208677,1.4055309,1.1016241,0.53693885,-1.4468586,0.5963391,1.4394494,0.947298,1.3737301,0.53542054,1.2338363,-0.5311832,-0.40697837,0.99279934,-0.24175538,-0.5437574,1.500939,0.99233836,-1.2118938,0.9481499,-0.5574083,-0.9809675,0.06110228,-1.3038137,-1.3916881,1.3054143,1.1898502,1.4437512,-0.06708264,0.44404998,0.38286895,-1.1457042,-0.9537535,0.76860964,0.16698696,-0.4612629,0.097988434,-0.4808627,-1.4795765,0.23344149,-0.6461728,1.1950698,1.0680048,0.74123603,-0.34148297,-0.21013738,1.2232335,-0.5015494,-0.23041564,0.9486467,0.25651288,1.0483462,1.0920253,0.6836768,-1.8195666,-0.15512298,-0.8112636,-0.9865445,-1.2319865,-1.6455157,0.8469473,-1.5489404,1.435169,1.6993248,0.87159306,1.1332748,-0.37118065,1.8637319,0.7686723,0.3765748,-0.41845527,-1.4047232,0.49060684,-0.3153985,-1.3080739,1.2346907,-1.3321892,-0.4415773,0.80108017,-0.37677953,1.385803,0.30935588,-1.5891082,-1.2333328,-1.1906444,0.64188254,0.4777629,-0.005608542,0.4820625,0.65579283,0.9906944,0.44114727,0.5390143,1.3016849,1.0715325,-0.9735434,0.43097705,-0.8314348,0.5195301,-1.7926872,-0.26748157,1.3713993,1.3439904,1.4133824,-1.154309,-0.58760756,-0.10221501,-0.5916235,0.35004917,-1.3567371,-0.5636094,1.2535884,0.78615415,-0.7585715,-1.1734836,-0.34618732,-0.78995883,-1.0666609,0.50449586,-0.9603355,1.0562695,-0.117690116,-0.53054875,-0.036170155,1.1898007,0.74682707,-1.1311212,0.016501872,0.42708308,1.0695741,-0.30182356,-1.0632715,-0.40896773,-1.1335396,0.06648421,-0.24543004,-0.34816098,-1.0043362,-0.19764395,0.8955211,-0.93557894,1.0947514,-0.65773684,-0.10420829,-0.6978927,-0.7568878,0.05852533,1.2828956,0.013479526,0.07813378,-1.0077856,0.3144186,0.73726004,-1.3969146,-0.23943983,-0.17933458,1.0145657,-0.66642374,-0.0951496,0.17342651,0.46839896,1.9103171,0.11465502,-1.4036784,0.28084782,-0.070493236,0.31139144,-0.102323815,-1.5090494,-0.73945624,-1.0117761,0.91304654,1.7147424,0.9777278,1.558485,-1.4692813,-0.9496649
